Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Failed,,,1891,615,3376,0.673,0.712,0.009,str('ks-test'),str('bounded'),1
Failed,,,2169,2836,1126,0.138,0.145,7.673,str('ks-test'),str('bounded'),38
Failed,,,3226,344,4499,0.773,0.792,3.555,str('t-test'),str('bounded'),3
Failed,,,4482,4188,1626,0.419,0.564,0.427,str('ks-test'),str('bounded'),16
Failed,,,925,1695,2751,0.555,0.494,5.801,str('t-test'),str('bounded'),26
Failed,,,334,4766,4007,0.692,0.268,9.306,str('ks-test'),str('bounded'),22
Failed,,,4282,2253,368,0.33,0.665,4.402,str('t-test'),str('bounded'),32
Failed,,,3035,3528,3276,0.973,0.94,1.28,str('ks-test'),str('bounded'),45
Failed,,,1588,1017,2351,0.111,0.121,7.429,str('t-test'),str('bounded'),10
Failed,,,1327,3871,3600,0.251,0.864,5.417,str('ks-test'),str('bounded'),23
Failed,,,2692,1377,2024,0.645,0.201,0.79,str('t-test'),str('bounded'),38
Failed,,,3938,2529,4118,0.033,0.414,2.663,str('ks-test'),str('bounded'),50
Failed,,,217,1262,4422,0.02,0.725,2.023,str('ks-test'),str('bounded'),42
Failed,,,1043,4486,3195,0.234,0.514,2.873,str('t-test'),str('bounded'),12
Failed,,,4990,1973,2432,0.869,0.429,8.401,str('ks-test'),str('bounded'),49
Failed,,,3735,3183,3927,0.452,0.216,5.275,str('t-test'),str('bounded'),36
Failed,,,2455,1935,4878,0.498,0.903,9.41,str('t-test'),str('bounded'),31
Failed,,,2398,3362,2571,0.102,0.296,8.665,str('ks-test'),str('bounded'),37
Failed,,,3456,874,1807,0.986,0.647,2.632,str('t-test'),str('bounded'),23
Failed,,,4702,4596,4552,0.32,0.995,0.755,str('ks-test'),str('bounded'),11
Failed,,,1145,2108,1073,0.706,0.068,5.542,str('t-test'),str('bounded'),49
Failed,,,95,4040,2326,0.545,0.169,9.672,str('ks-test'),str('bounded'),5
Failed,,,4043,1533,3301,0.432,0.769,4.105,str('t-test'),str('bounded'),43
Failed,,,2787,2687,578,0.763,0.623,2.231,str('ks-test'),str('bounded'),31
Failed,,,1339,179,3797,0.151,0.444,6.546,str('t-test'),str('bounded'),18
Failed,,,1683,4903,49,0.48,0.696,5.743,str('ks-test'),str('bounded'),3
Failed,,,3048,2416,4328,0.624,0.36,0.532,str('t-test'),str('bounded'),40
Failed,,,4304,3679,2049,0.2,0.027,3.653,str('ks-test'),str('bounded'),27
Failed,,,494,993,2039,0.906,0.249,8.871,str('ks-test'),str('bounded'),48
Failed,,,763,2968,814,0.841,0.023,5.99,str('t-test'),str('bounded'),6
Failed,,,4632,455,4811,0.198,0.92,0.304,str('ks-test'),str('bounded'),41
Failed,,,3389,4077,1313,0.623,0.691,3.432,str('t-test'),str('bounded'),29
Failed,,,2040,1841,1320,0.272,0.532,9.112,str('t-test'),str('bounded'),45
Failed,,,2025,4072,4199,0.792,0.105,1.763,str('t-test'),str('bounded'),8
Failed,,,3389,1579,178,0.188,0.954,7.014,str('ks-test'),str('bounded'),46
Failed,,,4646,2952,3680,0.511,0.68,8.892,str('t-test'),str('bounded'),34
Failed,,,781,460,1945,0.406,0.251,4.885,str('ks-test'),str('bounded'),21
Failed,,,503,3491,674,0.346,0.477,0.286,str('t-test'),str('bounded'),27
Failed,,,4133,979,4953,0.74,0.579,6.011,str('ks-test'),str('bounded'),14
Failed,,,2887,4804,1424,0.066,0.806,7.883,str('t-test'),str('bounded'),2
Failed,,,1756,2291,2951,0.958,0.128,3.414,str('ks-test'),str('bounded'),40
