Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
Failed,,,3632,1227,3153,0.565,0.701,2.531,str('ks-test'),str('full'),2792
Failed,,,2685,2746,4540,0.688,0.55,1.334,str('t-test'),str('bounded'),31
Failed,,,1029,194,2249,0.315,0.234,8.111,str('ks-test'),str('full'),3464
Failed,,,2403,4145,2995,0.767,0.381,6.166,str('t-test'),str('full'),3797
Failed,,,1193,3748,433,0.551,0.331,3.217,str('t-test'),str('bounded'),28
Failed,,,2008,1657,3134,0.102,0.249,0.335,str('ks-test'),str('bounded'),38
Failed,,,4274,3936,1409,0.829,0.872,9.518,str('t-test'),str('bounded'),1
Failed,,,4849,2409,686,0.945,0.919,5.05,str('ks-test'),str('bounded'),45
Failed,,,616,273,2445,0.668,0.376,1.279,str('ks-test'),str('bounded'),21
Failed,,,3195,2820,2916,0.401,0.501,8.577,str('t-test'),str('bounded'),33
Failed,,,3705,1265,2108,0.146,0.291,9.082,str('ks-test'),str('bounded'),49
Failed,,,34,4318,2569,0.908,0.665,0.769,str('t-test'),str('bounded'),12
Failed,,,1768,1057,1053,0.486,0.755,2.872,str('ks-test'),str('bounded'),23
Failed,,,4502,3354,4331,0.695,0.131,6.966,str('t-test'),str('bounded'),35
Failed,,,3848,501,3570,0.593,0.085,7.528,str('ks-test'),str('bounded'),17
Failed,,,2364,2582,1852,0.353,0.958,2.329,str('t-test'),str('bounded'),29
Failed,,,688,2173,4542,0.806,0.619,3.801,str('ks-test'),str('bounded'),43
Failed,,,2897,1988,2723,0.647,0.843,2.176,str('t-test'),str('bounded'),42
Failed,,,2257,373,4167,0.987,0.363,5.872,str('t-test'),str('bounded'),18
Failed,,,4053,2787,1196,0.194,0.737,4.274,str('ks-test'),str('bounded'),30
Failed,,,4630,1184,1684,0.092,0.532,1.232,str('t-test'),str('bounded'),25
Failed,,,1583,3149,3718,0.854,0.407,8.933,str('ks-test'),str('bounded'),37
Failed,,,212,1450,157,0.305,0.013,7.441,str('t-test'),str('bounded'),47
Failed,,,3571,4210,4384,0.514,0.886,2.708,str('ks-test'),str('bounded'),10
Failed,,,3301,146,602,0.75,0.161,4.62,str('t-test'),str('bounded'),20
Failed,,,410,3025,4818,0.054,0.785,5.525,str('ks-test'),str('bounded'),32
