Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.91,1,1477,2542,10.0,0.05,True,False
Completed,0.91,81,1,3769,0.001,0.05,True,True
Completed,0.91,0,2098,546,10.0,0.05,False,False
Completed,0.91,0,4999,4630,10.0,0.0,False,False
Completed,0.91,0,2739,3652,0.001,0.05,False,False
Completed,0.91,1,1,2592,10.0,0.0,True,False
Completed,0.91,1,1688,4404,0.001,0.0,True,False
Completed,0.91,1,5000,4841,10.0,0.05,True,False
Completed,0.91,0,1,1586,10.0,0.031,False,False
Completed,0.91,0,1,1226,0.001,0.05,False,False
Completed,0.91,0,1,1504,0.158,0.05,False,False
Completed,0.91,1,5000,3272,10.0,0.0,True,False
Completed,0.91,0,1,2584,5.076,0.0,True,False
Completed,0.91,0,5000,1969,10.0,0.05,False,False
Completed,0.91,0,5000,4552,0.001,0.05,False,False
Completed,0.91,0,1996,4736,10.0,0.0,False,False
Completed,0.91,0,1677,4255,10.0,0.05,False,False
Completed,0.91,1,1,1204,0.001,0.0,True,False
Completed,0.91,1,5000,2529,10.0,0.05,True,False
Completed,0.91,1,4642,297,4.614,0.0,True,False
Completed,0.91,0,5000,285,4.325,0.05,False,False
Completed,0.91,84,1,3767,0.001,0.0,True,True
Completed,0.91,0,3284,4827,0.001,0.0,False,False
Completed,0.91,1,4827,4099,6.565,0.05,True,False
Completed,0.91,0,650,3463,4.968,0.0,False,False
Completed,0.91,0,1,4348,0.001,0.05,False,False
Completed,0.91,0,2628,2766,10.0,0.05,False,False
Completed,0.91,1,2464,762,4.287,0.05,True,False
Completed,0.91,0,3068,3523,10.0,0.0,False,False
Completed,0.91,0,744,4022,6.444,0.045,True,False
Completed,0.91,0,1436,3186,0.001,0.05,False,False
Completed,0.91,0,5000,3262,6.703,0.0,False,False
Completed,0.91,0,5000,1683,10.0,0.0,False,False
Completed,0.91,0,1416,1335,4.462,0.05,True,False
Completed,0.91,0,5000,4661,0.001,0.05,True,False
Completed,0.91,0,1,3530,0.001,0.0,True,False
Completed,0.91,1,5000,4067,10.0,0.05,True,False
Completed,0.91,0,5000,1840,10.0,0.05,True,False
Completed,0.91,0,5000,2681,10.0,0.05,False,False
Completed,0.91,0,1,2920,10.0,0.05,False,False
Completed,0.91,0,5000,2107,0.001,0.0,True,False
Completed,0.91,0,5000,3467,10.0,0.0,False,False
Completed,0.91,1,2895,4067,4.398,0.05,True,False
Completed,0.91,0,3384,4180,10.0,0.0,False,False
Completed,0.91,0,1,3716,0.001,0.0,False,False
Completed,0.91,0,5000,1164,10.0,0.05,False,False
Completed,0.91,0,3060,3482,4.96,0.042,False,False
Completed,0.91,1,5000,3400,0.001,0.05,True,False
Completed,0.91,0,1,2629,5.91,0.05,False,False
Completed,0.91,0,1,3931,4.642,0.0,True,False
Completed,0.91,1,5000,3064,0.001,0.05,True,False
Completed,0.91,0,1,3946,10.0,0.0,False,False
Completed,0.91,0,5000,3042,10.0,0.05,True,False
Completed,0.91,1,1,2460,0.001,0.05,True,False
Completed,0.91,0,5000,2360,0.001,0.05,True,False
Completed,0.91,0,1686,1920,3.105,0.0,False,False
Completed,0.91,0,1,4369,5.906,0.05,True,False
Completed,0.91,0,5000,2990,0.001,0.0,False,False
Completed,0.91,0,5000,3651,0.001,0.0,False,False
Completed,0.91,0,1,667,10.0,0.0,False,False
Completed,0.91,0,1,946,5.437,0.0,True,False
Completed,0.91,0,1,4751,10.0,0.05,False,False
Completed,0.91,1,3822,1611,5.089,0.05,True,False
Completed,0.91,0,1203,4452,4.604,0.05,False,False
Completed,0.91,0,3766,1542,6.282,0.05,False,False
Completed,0.91,0,5000,4146,0.001,0.05,False,False
Completed,0.91,0,1,4772,0.001,0.0,True,False
Completed,0.91,0,1,2072,0.128,0.0,True,False
Completed,0.91,0,2966,1811,0.001,0.0,False,False
Completed,0.91,0,5000,1577,10.0,0.05,False,False
Completed,0.91,0,2750,3021,0.001,0.0,False,False
Completed,0.91,0,1,729,6.131,0.0,False,False
Completed,0.91,0,1,3246,10.0,0.05,False,False
Completed,0.91,0,5000,1692,0.001,0.0,False,False
Completed,0.91,0,5000,4527,10.0,0.05,False,False
Completed,0.91,0,1,4537,10.0,0.0,False,False
Completed,0.91,0,2308,4397,0.001,0.0,False,False
Completed,0.91,0,1,3164,10.0,0.0,True,False
Completed,0.91,0,5000,517,5.288,0.019,False,False
Completed,0.91,0,1,1392,3.086,0.0,False,False
Completed,0.91,0,950,743,0.001,0.05,False,False
Completed,0.91,0,5000,551,0.001,0.0,False,False
Completed,0.91,1,2500,2492,0.001,0.05,True,False
Completed,0.91,0,3132,2054,0.001,0.05,False,False
Completed,0.91,0,5000,2732,0.001,0.05,False,False
Completed,0.91,0,1,3398,10.0,0.0,False,False
Completed,0.91,0,1,961,10.0,0.05,True,False
Completed,0.91,0,4862,4099,5.865,0.0,False,False
Completed,0.91,0,1985,2093,10.0,0.0,False,False
Completed,0.91,0,5000,1446,10.0,0.0,True,False
Completed,0.91,0,5000,4842,10.0,0.05,False,False
Completed,0.91,0,1,4358,10.0,0.0,True,False
Completed,0.91,1,5000,417,8.574,0.05,True,False
Completed,0.91,0,2719,879,10.0,0.05,False,False
