Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.07,100,2440,4719,2.786,0.047,False,False
Completed,0.06,90,727,2073,8.243,0.021,False,False
Completed,0.06,89,196,2770,5.954,0.015,False,False
Completed,0.09,528,1566,436,0.477,0.041,False,False
Completed,0.06,300,3532,2112,2.394,0.001,False,False
Completed,0.06,88,4630,4835,6.603,0.026,False,False
Completed,0.06,162,3785,321,8.844,0.033,False,False
Completed,0.06,129,1532,890,5.883,0.046,False,False
Completed,0.06,131,3230,647,8.298,0.029,False,False
Completed,0.07,135,4933,3646,2.507,0.005,False,False
Completed,0.1,351,4069,1823,0.442,0.011,False,False
Completed,0.06,99,2688,3883,6.213,0.035,False,False
Completed,0.05,115,2710,918,4.183,0.016,False,False
Completed,0.06,87,4129,3544,9.975,0.042,False,False
Completed,0.06,93,4994,1617,7.041,0.048,False,False
Completed,0.08,281,3252,3930,1.269,0.023,False,False
Completed,0.06,134,1510,3856,3.849,0.002,False,False
Completed,0.06,95,403,1853,9.64,0.028,False,False
Completed,0.06,89,1101,3615,7.409,0.034,False,False
Completed,0.06,499,1905,676,1.637,0.008,False,False
Completed,0.09,372,2608,1735,0.96,0.045,False,False
Completed,0.06,89,4310,3815,5.5,0.019,False,False
Completed,0.06,108,4696,717,7.799,0.013,False,False
Completed,0.06,117,2496,504,7.006,0.003,False,False
Completed,0.06,143,2910,428,9.439,0.023,False,False
Completed,0.06,118,4007,2781,3.982,0.047,False,False
Completed,0.07,285,4413,2062,1.819,0.041,False,False
Completed,0.06,95,3599,4728,7.296,0.017,False,False
Completed,0.06,94,2137,3683,6.812,0.025,False,False
Completed,0.05,405,1031,764,2.273,0.049,False,False
Completed,0.07,95,478,3767,4.426,0.043,False,False
Completed,0.06,95,1283,1786,8.945,0.019,False,False
Completed,0.06,106,3333,1704,6.562,0.007,False,False
Completed,0.09,131,4752,4000,2.022,0.032,False,False
Completed,0.05,120,4367,849,4.722,0.026,False,False
Completed,0.06,89,2624,3456,9.242,0.002,False,False
Completed,0.05,118,1995,1057,4.49,0.047,False,False
Completed,0.06,97,1653,4589,6.377,0.048,False,False
Completed,0.06,230,259,2216,2.167,0.023,False,False
Completed,0.06,119,2972,2732,4.615,0.007,False,False
Completed,0.06,268,2250,2652,2.065,0.018,False,False
Completed,0.06,141,840,552,6.274,0.043,False,False
Completed,0.06,93,122,4921,9.219,0.049,False,False
Completed,0.06,104,1873,1884,4.989,0.024,False,False
Completed,0.06,118,1813,2662,5.456,0.03,False,False
Completed,0.05,555,99,388,1.247,0.006,False,False
Completed,0.06,96,818,4768,3.302,0.012,False,False
Completed,0.06,99,2188,2181,7.532,0.036,False,False
Completed,0.06,92,3032,1954,5.087,0.038,False,False
Completed,0.11,274,3808,4854,0.878,0.014,False,False
Completed,0.04,242,4651,619,3.636,0.02,False,False
Completed,0.06,96,3594,2582,7.866,0.044,False,False
Completed,0.04,736,1713,56,3.405,0.005,False,False
Completed,0.06,116,1977,4340,5.272,0.004,False,False
Completed,0.1,421,1190,1361,0.732,0.029,False,False
Completed,0.07,109,3315,3733,3.279,0.038,False,False
Completed,0.1,308,1299,3506,0.669,0.037,False,False
Completed,0.06,108,535,801,5.208,0.012,False,False
Completed,0.06,87,1086,4047,8.055,0.006,False,False
Completed,0.06,115,2155,1655,3.535,0.031,False,False
Completed,0.06,334,2758,1142,1.88,0.028,False,False
Completed,0.06,89,4160,3163,6.42,0.003,False,False
Completed,0.06,93,4849,1373,9.344,0.01,False,False
Completed,0.06,89,3162,4331,4.824,0.033,False,False
Completed,0.13,1111,713,82,0.156,0.008,True,False
Completed,0.08,105,1462,4099,2.248,0.041,False,False
Completed,0.06,98,372,1454,6.788,0.017,False,False
Completed,0.06,90,1246,3390,9.009,0.023,False,False
Completed,0.05,122,1980,1351,4.292,0.011,False,False
Completed,0.06,109,1717,3008,7.346,0.01,False,False
Completed,0.03,741,274,49,1.574,0.036,False,False
Completed,0.06,99,656,2945,4.847,0.017,False,False
Completed,0.06,185,2351,259,9.077,0.042,False,False
Completed,0.06,1265,2879,28,6.667,0.034,False,False
Completed,0.08,128,3960,3025,2.457,0.009,False,False
Completed,0.06,104,4501,2443,4.591,0.002,False,False
Completed,0.06,91,3744,4503,8.82,0.028,False,False
Completed,0.07,643,3682,287,0.853,0.022,False,False
Completed,0.06,89,4480,2914,5.063,0.045,False,False
Completed,0.06,98,3938,2246,7.929,0.039,False,False
Completed,0.06,131,2819,4561,3.699,0.015,False,False
Completed,0.09,355,2412,4475,1.106,0.011,False,False
Completed,0.06,103,677,2474,5.315,0.035,False,False
Completed,0.06,93,282,2995,7.634,0.029,False,False
Completed,0.05,216,1660,2225,2.816,0.041,False,False
