Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
Completed,0.7,33,3019,395,0.921,0.039,False,False
Completed,0.19,24,4093,2929,8.097,0.015,False,False
Completed,0.19,22,4712,2340,6.559,0.019,False,False
Completed,0.19,25,3638,4806,4.966,0.046,False,False
Completed,0.58,27,1265,345,2.033,0.05,False,False
Completed,0.19,23,968,2847,9.602,0.007,False,False
Completed,0.19,24,619,2030,5.868,0.005,False,False
Completed,0.19,22,2160,4527,3.436,0.039,False,False
Completed,0.62,26,467,3946,1.617,0.024,False,False
Completed,0.92,1615,2546,112,6.857,0.026,True,True
Completed,0.19,22,1029,3882,7.908,0.026,False,False
Completed,0.92,2476,3147,179,2.993,0.024,True,True
Completed,0.76,41,2494,1397,0.732,0.003,False,False
Completed,0.19,27,1857,3230,4.77,0.008,False,False
Completed,0.19,30,393,716,6.362,0.033,False,False
Completed,0.19,23,2507,1707,9.707,0.037,False,False
Completed,0.65,32,3971,4192,1.262,0.01,False,False
Completed,0.91,6074,1856,493,6.511,0.039,True,True
Completed,0.58,32,4609,1031,2.849,0.005,False,False
Completed,0.19,22,3144,3545,5.633,0.029,False,False
Completed,0.64,25,4743,2996,1.733,0.035,False,False
Completed,0.46,28,4111,2412,2.695,0.03,False,False
Completed,0.19,24,2998,4898,6.102,0.005,False,False
Completed,0.19,22,149,4771,9.958,0.017,False,False
Completed,0.68,26,1497,2305,1.492,0.043,False,False
Completed,0.49,26,2113,2967,3.067,0.047,False,False
Completed,0.91,7949,2743,551,3.389,0.015,False,True
Completed,0.77,1011,1619,1612,0.336,0.013,True,False
Completed,0.67,29,907,2613,1.466,0.049,False,False
Completed,0.19,162,1981,81,9.911,0.023,False,False
Completed,0.19,22,1365,4495,5.824,0.019,False,False
Completed,0.45,26,291,2031,3.041,0.041,False,False
Completed,0.67,32,2817,2060,1.838,0.029,False,False
Completed,0.19,27,4282,4545,9.68,0.006,False,False
Completed,0.18,36,4913,207,6.226,0.011,False,False
Completed,0.57,26,3449,2721,2.799,0.037,False,False
Completed,0.92,2669,2257,240,7.365,0.049,False,True
Completed,0.19,30,2715,824,7.501,0.046,False,False
Completed,0.66,41,3789,3357,0.968,0.02,False,False
Completed,0.53,24,4400,1446,4.393,0.016,False,False
Completed,0.19,23,3326,3911,6.589,0.038,False,False
