Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.68,102,4494,376,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,71,3049,250,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,25,2041,59,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,4962,2846,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,37,2369,246,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,2203,2409,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.65,59,4799,534,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,46,2198,90,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,57,2349,112,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,89,5000,321,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,480,4508,41,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,92,4856,290,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,44,2150,64,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,138,4665,166,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,106,4802,253,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,47,2237,100,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,132,3916,199,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,160,3893,165,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,154,4393,226,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,55,2187,75,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,50,2185,80,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,81,3747,319,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,101,3918,316,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,108,4132,239,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,328,4537,66,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,63,2619,152,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,160,4339,139,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,95,3705,233,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,76,2850,159,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.61,45,5000,788,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,67,2044,16,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,142,4246,166,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,53,2065,27,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,106,3060,169,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,2139,2429,1,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,731,2105,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,113,3829,236,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,65,2707,165,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,105,3486,200,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.69,73,3218,290,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,90,3587,223,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,159,4730,140,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.81,53,2055,22,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,148,4101,154,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.61,46,4574,776,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,3570,2757,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,164,4252,153,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,117,4030,235,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,110,3017,186,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.67,11,1,11,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,42,2074,33,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,160,4854,167,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,123,5000,210,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,54,2452,140,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,1401,2283,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,2716,2532,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,101,2028,6,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,121,2013,2,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,1178,2223,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.7,99,5000,397,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,106,2862,156,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,1844,2345,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,53,2116,82,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,90,2758,164,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,3086,2603,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,1298,2253,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,52,2103,64,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.68,76,3143,315,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,803,2132,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.75,57,2105,54,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,2363,2468,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.59,25,2859,1354,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,3890,2800,1,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
