Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.69,225,2163,4371,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,247,4273,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.85,257,4620,4755,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,279,4716,4401,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,248,1096,4698,0.181,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,263,1209,2696,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.65,630,103,2301,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,425,963,653,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,239,3480,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.58,202,1,370,0.542,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,475,1219,608,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.88,291,3010,1753,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,314,2197,438,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,1134,1027,4531,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.89,307,4085,2718,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.77,233,2186,2087,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,516,3929,881,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.9,337,5000,2321,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.79,217,781,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,1051,4279,4205,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,241,2143,567,0.436,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,384,3120,937,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,342,3226,1591,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,433,5000,1263,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,278,4570,4228,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.8,221,704,3821,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.82,244,1013,3452,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,253,4635,5000,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,1127,1267,4655,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.88,299,2308,790,0.543,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,239,2492,4276,0.268,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.87,331,4404,3687,0.336,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.88,265,3008,2561,0.24,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.9,347,628,792,0.657,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.84,255,2150,647,0.691,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,762,1782,642,0.554,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.88,303,2483,902,0.416,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.89,304,1719,2855,0.296,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.86,289,4346,4835,0.27,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,241,2493,4113,0.289,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.76,243,2588,4393,0.268,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
