Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.73,277,1326,19,0.977,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,107,1088,87,0.367,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,12,1,13,0.791,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,92,1311,106,0.664,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,257,5000,51,0.318,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,303,1351,29,0.435,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,113,5000,114,0.271,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,665,1392,11,0.292,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,244,3649,36,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,91,2635,58,0.271,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,11,1,85,0.98,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.74,638,1927,14,0.673,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,15,4515,1887,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,60,2784,90,0.341,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,216,3255,37,0.23,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,12,1,42,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.71,12,1,24,0.746,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,198,1725,57,0.511,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.72,53,5000,4146,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.73,172,4218,80,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
