Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
Completed,0.92,35,3605,17,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,2,2326,118,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,15,3873,47,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,3149,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,4057,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,1413,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,1205,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2193,3046,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,1472,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4655,378,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3662,373,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,58,4019,11,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,11,3929,55,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,856,3937,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,5,2468,39,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3260,3692,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1897,2287,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4032,1587,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,3,3044,110,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,2389,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,1942,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,1743,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,3,2802,102,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,10,3774,64,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.92,6,3765,88,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2955,2148,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2811,4547,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2199,3618,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1924,2069,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3450,2725,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,4286,3212,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3152,1471,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1774,4130,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,1,2847,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,3603,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,4879,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3391,3031,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,3897,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3934,283,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,5000,4517,0.999,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,2255,4055,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,7,3909,77,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,16,3805,37,0.001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
Completed,0.91,0,3678,2624,0.11,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
