Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.1,4728,3425,18,139,1138,13
Completed,0.12,1275,3423,4,383,1467,297
Completed,0.1,964,1961,21,189,1831,145
Completed,0.1,595,1802,6,405,1765,289
Completed,0.1,2871,1146,20,235,565,13
Completed,0.1,3030,1989,12,226,1410,320
Completed,0.1,2183,1475,4,144,1406,82
Completed,0.1,4133,1722,16,349,1614,58
Completed,0.1,690,1161,6,414,992,188
Completed,0.1,373,1742,15,20,1303,284
Completed,0.14,756,878,3,103,474,76
Completed,0.1,367,624,5,176,616,131
Completed,0.11,2216,1521,10,324,1364,147
Completed,0.1,829,1337,2,370,98,9
Completed,0.11,2232,1790,1,234,1081,62
Completed,0.1,1061,1588,16,139,890,95
Completed,0.1,1484,1977,8,399,1725,93
Completed,0.1,600,1461,18,442,1041,155
Completed,0.1,1063,3826,23,219,1919,344
Completed,0.1,1690,4622,5,107,1717,54
Completed,0.11,2072,1876,9,40,1014,133
Completed,0.1,521,1903,11,338,1825,405
Completed,0.1,854,1410,14,261,1375,343
Completed,0.1,2421,1685,5,387,1291,47
Completed,0.1,2271,1859,16,7,1765,42
Completed,0.1,3407,1574,25,409,1539,128
Completed,0.12,1829,1657,0,248,1604,303
Completed,0.1,562,1637,19,214,1152,221
Completed,0.1,1968,1690,7,278,600,21
Completed,0.1,854,1535,24,29,1188,90
Completed,0.1,448,1897,5,258,416,99
Completed,0.1,694,1773,15,432,1476,238
Completed,0.1,1107,639,25,151,367,40
Completed,0.1,4028,1922,23,374,1433,73
Completed,0.1,1879,1415,22,333,849,162
Completed,0.1,438,1214,7,304,1180,246
Completed,0.1,790,1781,19,258,994,152
Completed,0.1,6409,1596,18,59,1392,10
Completed,0.1,963,1169,14,65,1090,99
Completed,0.1,615,1918,24,16,1743,332
Completed,0.1,1639,1528,22,169,718,50
Completed,0.1,361,1736,21,73,957,213
Completed,0.1,653,1200,4,25,281,25
Completed,0.11,1369,980,1,461,764,145
Completed,0.1,1367,1951,17,483,739,111
Completed,0.1,574,459,24,380,439,83
Completed,0.11,841,710,10,113,542,60
Completed,0.14,1818,1813,3,330,1682,227
Completed,0.1,703,1012,11,346,917,119
Completed,0.19,3689,1375,26,254,1116,39
Completed,0.14,760,1999,3,180,814,184
Completed,0.1,571,963,15,127,680,88
Completed,0.1,3058,3940,13,398,509,24
Completed,0.1,632,1842,20,399,1178,158
Completed,0.1,675,1955,13,288,243,55
Completed,0.1,429,1925,5,195,1240,271
Completed,0.11,1162,1206,25,205,770,94
Completed,0.1,489,1767,5,93,575,86
Completed,0.1,580,1019,18,416,414,63
Completed,0.1,1358,1863,12,438,1564,365
Completed,0.1,1418,1905,13,220,1502,189
Completed,0.1,1014,1467,2,35,877,57
Completed,0.1,954,1859,6,203,1253,106
Completed,0.1,413,943,8,72,177,32
Completed,0.1,546,1221,11,382,662,144
Completed,0.12,1293,1582,4,355,1036,192
