Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.96,13,1979,37,192,1886,330
Completed,0.96,17,1486,42,316,1284,92
Completed,0.96,7,1123,59,123,1101,155
Completed,0.96,77,1356,7,473,682,169
Completed,0.96,10,701,28,348,171,12
Completed,0.96,18,1304,38,426,1069,204
Completed,0.96,32,1976,32,484,1656,123
Completed,0.96,26,1414,1,271,965,34
Completed,0.96,11,1755,8,10,1002,28
Completed,0.96,16,1522,60,398,716,45
Completed,0.96,17,919,20,433,867,166
Completed,0.96,4,1317,30,239,315,66
Completed,0.96,15,1634,25,305,1318,219
Completed,0.96,35,1586,38,256,1509,27
Completed,0.96,144,1824,22,153,211,43
Completed,0.96,19,1024,69,500,823,69
Completed,0.96,6,1957,54,58,1825,213
Completed,0.96,21,891,71,109,661,13
Completed,0.96,4,1541,27,65,764,135
Completed,0.96,26,1806,48,465,1454,181
Completed,0.96,3,1998,19,6,1407,276
Completed,0.96,12,1677,66,221,1145,121
Completed,0.96,5,1240,44,24,461,36
Completed,0.96,11,1912,10,372,573,73
Completed,0.96,4,1514,42,44,1243,169
Completed,0.96,22,1878,58,268,1434,109
Completed,0.96,18,1696,34,491,1134,266
Completed,0.96,9,1641,6,138,846,94
Completed,0.96,7,1440,45,477,250,49
Completed,0.96,69,1857,52,240,1782,15
Completed,0.96,3,1536,5,18,1520,358
Completed,0.96,4,1295,56,16,597,79
Completed,0.96,10,1158,40,299,788,145
Completed,0.96,11,1622,32,356,500,61
Completed,0.96,16,1916,23,297,1828,420
Completed,0.96,13,1720,71,449,1599,200
Completed,0.96,84,1550,9,494,1291,10
Completed,0.96,10,1782,66,102,989,56
Completed,0.96,9,1937,28,196,1108,198
Completed,0.96,18,1830,4,282,1737,168
Completed,0.96,16,1895,63,245,1627,260
Completed,0.96,8,995,25,145,382,30
Completed,0.96,7,1950,36,376,353,87
Completed,0.96,91,1388,68,370,1041,7
Completed,0.96,14,1155,16,224,739,54
Completed,0.96,8,1461,27,295,709,121
Completed,0.96,6,1629,61,72,322,21
Completed,0.96,13,1192,47,176,1011,75
Completed,0.96,6,1390,0,86,1311,292
Completed,0.96,54,1898,5,461,1896,37
Completed,0.96,16,1715,52,301,1660,318
