Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Completed,0.04,41,1854,1,363,1807,450
Completed,0.08,234,1216,9,499,1177,18
Completed,0.05,33,1991,13,14,1837,77
Completed,0.04,23,901,1,209,887,218
Completed,0.04,50,1350,19,247,721,52
Completed,0.04,37,1632,3,407,1152,270
Completed,0.04,125,1821,19,322,1261,31
Completed,0.08,27,1738,9,73,841,55
Completed,0.04,50,616,3,7,44,1
Completed,0.04,44,1527,10,218,1242,143
Completed,0.04,32,1771,1,239,1274,253
Completed,0.05,96,1712,17,27,1134,14
Completed,0.04,59,1846,7,275,717,40
Completed,0.04,20,1548,4,141,795,164
Completed,0.04,36,1154,7,226,955,126
Completed,0.04,76,1450,4,361,533,16
Completed,0.04,16,1726,18,128,450,82
Completed,0.05,79,1644,13,353,1510,368
Completed,0.05,11,1842,17,8,1558,273
Completed,0.04,62,1432,15,279,1063,70
Completed,0.06,49,1792,12,482,495,60
Completed,0.06,14,1002,5,31,523,96
Completed,0.04,35,1330,3,383,973,234
Completed,0.05,279,920,17,409,636,6
Completed,0.04,74,1940,10,370,1593,146
Completed,0.04,18,1872,4,60,1013,192
Completed,0.04,102,1546,7,417,1498,75
Completed,0.04,30,1895,18,165,915,107
Completed,0.06,38,1053,12,355,767,184
Completed,0.06,59,473,14,173,393,13
Completed,0.04,88,1686,18,299,1375,76
Completed,0.06,32,1982,14,164,1137,191
Completed,0.04,439,1960,20,424,1201,250
Completed,0.04,33,1021,16,210,132,11
Completed,0.04,39,1811,2,287,855,85
Completed,0.05,24,1629,13,39,1310,111
Completed,0.04,64,1875,7,95,306,7
Completed,0.04,46,1166,10,394,707,89
Completed,0.04,44,1989,1,385,1749,295
Completed,0.04,37,1267,0,142,1127,122
Completed,0.04,46,1852,15,239,1652,172
Completed,0.04,19,756,1,44,572,61
Completed,0.06,512,1586,14,445,905,4
Completed,0.04,85,1971,3,193,1445,38
Completed,0.06,36,1672,5,332,1058,167
Completed,0.04,14,1761,16,81,607,138
Completed,0.04,26,1665,18,124,1570,319
Completed,0.04,37,363,4,43,270,11
Completed,0.04,44,1552,6,251,1543,195
Completed,0.04,33,1161,2,486,891,185
Completed,0.04,63,1994,11,477,1933,448
Completed,0.04,22,1635,0,69,1119,149
Completed,0.06,43,726,14,154,169,7
Completed,0.04,47,1596,19,205,965,61
Completed,0.08,218,1962,9,457,1385,25
Completed,0.04,88,1830,20,471,1717,144
Completed,0.04,214,812,6,307,511,4
Completed,0.04,30,1932,1,367,371,58
Completed,0.04,24,1141,15,131,647,102
Completed,0.04,31,1951,7,153,1685,267
Completed,0.06,83,1293,5,382,1188,64
Completed,0.04,16,1755,7,51,791,105
Completed,0.05,21,1015,17,122,832,132
Completed,0.04,43,462,19,413,454,49
Completed,0.04,60,1426,7,374,1255,157
Completed,0.04,16,738,2,84,560,107
Completed,0.04,71,1521,2,184,1434,116
Completed,0.05,75,1920,13,437,979,79
Completed,0.08,34,1818,9,292,1078,244
Completed,0.06,23,1352,8,155,913,207
Completed,0.06,35,895,12,180,696,56
Completed,0.06,32,1994,5,110,1529,166
Completed,0.06,46,1849,12,268,1623,293
Completed,0.04,17,1375,10,11,1003,120
Completed,0.04,35,1058,0,259,584,91
Completed,0.05,693,1767,17,246,431,1
Completed,0.08,23,1492,9,102,597,50
Completed,0.04,143,1075,19,350,1052,20
Completed,0.04,71,1201,11,182,784,25
Completed,0.04,27,1405,19,297,704,147
Completed,0.08,46,1511,9,401,859,152
Completed,0.04,32,1922,19,153,1306,184
Completed,0.04,20,967,7,67,481,45
Completed,0.06,73,1722,12,264,1198,51
Completed,0.04,314,1793,7,475,1338,311
Completed,0.04,30,1111,16,497,361,72
Completed,0.04,41,1836,2,15,653,22
Completed,0.06,23,1900,5,198,731,135
Completed,0.04,70,1532,16,446,1182,169
Completed,0.08,27,1685,9,179,1213,296
Completed,0.06,65,1861,14,93,1322,35
Completed,0.04,257,1696,3,341,780,6
