detector,dataset,detector_count,dataset_file_count,detector_file_count,completed_pair_count,zero_completion_pair_count,recommendation_attempted_count,recommendation_completed_count,completion_rate,benchmark_pareto_completed_count,paper_default_total_count,paper_default_completed_count,gd_plus,igd_plus,recommendation_benchmark_dominance_rate,benchmark_pareto_dominated_rate,exact_r2_recommendations,exact_r2_benchmark,r2_gap,recommendation_default_dominance_rate,default_dominated_rate,spearman_accuracy,spearman_runtime,valid_pair_count__gd_plus,valid_detector_count__gd_plus,valid_pair_count_total__gd_plus,valid_pair_count__igd_plus,valid_detector_count__igd_plus,valid_pair_count_total__igd_plus,valid_pair_count__recommendation_benchmark_dominance_rate,valid_detector_count__recommendation_benchmark_dominance_rate,valid_pair_count_total__recommendation_benchmark_dominance_rate,valid_pair_count__benchmark_pareto_dominated_rate,valid_detector_count__benchmark_pareto_dominated_rate,valid_pair_count_total__benchmark_pareto_dominated_rate,valid_pair_count__exact_r2_recommendations,valid_detector_count__exact_r2_recommendations,valid_pair_count_total__exact_r2_recommendations,valid_pair_count__exact_r2_benchmark,valid_detector_count__exact_r2_benchmark,valid_pair_count_total__exact_r2_benchmark,valid_pair_count__r2_gap,valid_detector_count__r2_gap,valid_pair_count_total__r2_gap,valid_pair_count__recommendation_default_dominance_rate,valid_detector_count__recommendation_default_dominance_rate,valid_pair_count_total__recommendation_default_dominance_rate,valid_pair_count__default_dominated_rate,valid_detector_count__default_dominated_rate,valid_pair_count_total__default_dominated_rate,valid_pair_count__spearman_accuracy,valid_detector_count__spearman_accuracy,valid_pair_count_total__spearman_accuracy,valid_pair_count__spearman_runtime,valid_detector_count__spearman_runtime,valid_pair_count_total__spearman_runtime
D3,SensorStream,,,,,,20,20,1.0,20,8,8,0.07226304401537757,0.053935471145415505,0.45,0.45,0.20039053910140614,0.15391026867556548,0.04648027042584066,0.85,1.0,0.9506968799918131,0.5062053761516263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,ALL,,9.0,,9.0,0.0,180,180,1.0,99,72,72,0.0846125871462931,0.1763964789655181,0.25000000000000006,0.2778988068461753,0.2431339647908327,0.15852818107353536,0.08460578371729739,0.4666666666666667,0.6527777777777778,0.8245432065174475,0.7589414588580057,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,7.0,,,7.0,,
DAWIDD,Electricity,,,,,,20,20,1.0,2,2,2,0.5078174101355539,0.25000000000000006,0.0,0.0,0.17118151027436027,0.09802873484097893,0.07315277543338133,0.1,0.5,0.1172138266535962,0.7822117484696574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWIDD,ForestCovertype,,,,,,20,20,1.0,13,2,2,0.031922447477342214,0.2148531492471037,0.0,0.0,0.36192289354758655,0.1747307975935176,0.18719209595406897,0.0,0.0,0.5209880722517277,0.5209880722517277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWIDD,GasSensor,,,,,,20,20,1.0,8,2,2,0.0889673229528648,0.13108800075387098,0.0,0.0,0.20245938668259603,0.17863874488559245,0.023820641797003578,0.0,0.0,0.5181017117406378,0.5181017117406378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWIDD,NOAAWeather,,,,,,20,20,1.0,2,2,2,0.48551549589285764,0.35515495892857624,0.0,0.0,0.2838190423226682,0.19780114785377662,0.08601789446889158,1.0,1.0,0.37796447300922725,0.37796447300922725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWIDD,OutdoorObjects,,,,,,20,20,1.0,2,2,2,0.05,0.0,0.0,0.0,0.20833333333333362,0.29166666666666774,-0.08333333333333412,0.25,1.0,0.7336267891526626,0.7336267891526626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWIDD,Ozone,,,,,,20,20,1.0,2,2,2,0.0,0.5,0.0,0.0,0.5,0.25,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWIDD,PokerHand,,,,,,20,20,1.0,17,2,2,0.018969264930077216,0.22889693228182262,0.85,0.058823529411764705,0.23103404311524242,0.16607358349573378,0.06496045961950864,0.0,0.0,0.6216640293707959,0.6216640293707959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWIDD,RialtoBridgeTimelapse,,,,,,20,20,1.0,23,2,1,0.1370678764143493,0.2836245163751137,0.0,0.0,0.19555332316583673,0.11338130056894627,0.08217202259689046,0.0,0.0,0.6886500387556949,0.20961719364230863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWIDD,SensorStream,,,,,,20,20,1.0,16,2,1,0.029746953815166427,0.1420049321404353,0.8,0.0625,0.2301254157382509,0.19342783920294623,0.03669757653530467,0.1,1.0,0.6775760560563593,0.8086079871033942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWIDD,ALL,,9.0,,9.0,0.0,180,180,1.0,85,18,16,0.15000075240202354,0.2339580544141025,0.18333333333333332,0.013480392156862746,0.2649365497977639,0.18486097945646218,0.08007557034130168,0.27222222222222225,0.5,0.5319731246238377,0.5715977505925514,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,8.0,,,8.0,,
DDAL,Electricity,,,,,,20,20,1.0,2,8,8,0.33333333333333326,0.6666666666666666,0.0,0.0,0.5,0.2,0.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDAL,ForestCovertype,,,,,,20,20,1.0,7,8,8,0.035497641214431996,0.14627035646415237,0.1,0.14285714285714285,0.2316797661326897,0.17846683448221035,0.053212931650479356,0.1,0.875,0.8429343096516326,0.7570005729206586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDAL,GasSensor,,,,,,20,20,1.0,4,8,8,0.0,0.5416666666666672,0.0,0.0,0.5,0.19038996927854093,0.3096100307214591,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDAL,NOAAWeather,,,,,,20,20,1.0,1,8,8,0.6,0.0,0.0,0.0,0.25,0.5,-0.25,1.0,1.0,0.8495907904857465,0.8495907904857465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDAL,OutdoorObjects,,,,,,20,20,1.0,1,8,8,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDAL,Ozone,,,,,,20,20,1.0,1,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDAL,PokerHand,,,,,,20,20,1.0,11,8,8,0.11604280959357852,0.2373369457778428,0.0,0.0,0.24879684255028747,0.1560369148215921,0.09275992772869537,0.7,1.0,0.5181017117406378,0.8018710295568235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDAL,RialtoBridgeTimelapse,,,,,,20,20,1.0,12,8,8,0.0,0.0511107252879807,0.95,0.5,0.23488142417469363,0.23442818463930448,0.00045323953538914385,0.1,1.0,0.5209880722517277,0.5209880722517277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
