Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
Completed,0.72,53,508,3246,666,74,8
Completed,0.72,53,988,156,986,106,6
Completed,0.73,81,2752,2546,304,139,1
Completed,0.71,394,4126,1305,609,30,4
Completed,0.73,38,2137,3896,168,246,9
Completed,0.74,28,2457,1046,508,150,5
Completed,0.72,88,3821,3442,193,125,10
Completed,0.74,24,3056,2202,900,234,7
Completed,0.72,202,667,4787,341,10,2
Completed,0.72,38,183,1658,6,41,1
Completed,0.74,38,3576,4090,689,204,7
Completed,0.72,132,4550,350,403,95,8
Completed,0.74,27,1695,2898,844,180,4
Completed,0.7,252,1816,571,237,24,8
Completed,0.74,37,4427,2980,553,236,3
Completed,0.72,121,3698,1720,359,96,4
Completed,0.74,51,61,4330,917,133,10
Completed,0.74,43,790,2430,738,165,9
Completed,0.72,110,2934,4880,54,64,4
Completed,0.74,24,3942,1121,857,204,1
Completed,0.73,94,2335,3690,417,56,6
Completed,0.73,20,2016,1526,755,85,2
Completed,0.74,46,4248,3978,439,175,7
Completed,0.71,59,2629,218,653,35,10
Completed,0.74,30,1110,2786,95,194,5
Completed,0.74,12,385,924,259,224,3
Completed,0.73,81,4727,2080,150,144,6
Completed,0.72,102,1491,4684,592,115,2
Completed,0.74,30,1553,1275,179,174,5
Completed,0.72,129,4724,3838,613,86,9
Completed,0.74,14,3403,79,292,195,8
Completed,0.71,83,321,2534,982,34,2
Completed,0.71,1244,1155,634,678,3,1
Completed,0.74,37,2604,3239,112,226,6
Completed,0.72,107,4271,1979,792,117,9
Completed,0.73,75,1973,4393,484,143,4
Completed,0.74,8,2273,353,816,238,10
Completed,0.72,373,3946,2963,384,22,5
Completed,0.73,50,2928,1703,716,130,2
Completed,0.73,65,854,4113,25,98,7
Completed,0.73,23,16,2252,314,67,7
Completed,0.73,73,3723,4824,880,161,1
Completed,0.71,272,4405,1065,220,52,4
Completed,0.74,36,1859,3511,528,207,8
Completed,0.72,85,1669,1147,428,123,3
Completed,0.73,78,4595,3733,861,153,8
Completed,0.71,200,3533,2492,43,13,10
Completed,0.74,38,207,4887,734,232,4
Completed,0.74,24,664,1797,929,200,4
Completed,0.72,134,3119,4342,363,44,9
Completed,0.73,16,3755,601,541,184,6
Completed,0.72,54,2463,3038,234,91,1
Completed,0.74,31,2163,2061,564,62,7
Completed,0.74,47,4081,4615,131,213,2
Completed,0.72,65,2794,874,969,73,5
Completed,0.74,34,964,3302,278,171,10
Completed,0.73,15,511,173,68,140,8
Completed,0.72,93,3212,2763,633,104,3
Completed,0.75,26,4914,1523,466,244,2
Completed,0.71,182,1363,3913,775,31,6
