Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Failed,,,3747,445,3457,0.468,0.0
Failed,,,2362,3848,1626,0.935,0.01
Failed,,,1092,1688,3902,0.152,0.6
Failed,,,4706,2611,713,0.744,0.0
Failed,,,4501,1046,4125,0.995,0.9
Failed,,,650,4498,956,0.404,0.0
Failed,,,2158,2289,3211,0.68,0.001
Failed,,,2735,1271,578,0.046,0.2
Failed,,,1500,2867,4968,0.578,0.0
Failed,,,78,33,2087,0.354,0.0
Failed,,,3843,4111,2678,0.761,0.5
Failed,,,4006,265,1136,0.164,0.0
Failed,,,199,4342,4256,0.695,0.3
Failed,,,1350,1508,1512,0.472,0.8
Failed,,,2542,3105,3412,0.878,0.0
Failed,,,3137,2364,4778,0.863,0.0
Failed,,,2025,3336,456,0.271,0.6
Failed,,,794,1127,2575,0.547,0.01
Failed,,,4681,4579,1877,0.08,0.0
Failed,,,4867,1763,2956,0.335,0.3
Failed,,,1212,2686,2277,0.802,0.001
Failed,,,4298,757,3190,0.069,0.0
Failed,,,532,4795,1262,0.535,0.6
Failed,,,1642,1994,4143,0.252,0.1
Failed,,,2876,3552,1091,0.844,0.0
Failed,,,3468,1607,2147,0.897,0.0
Failed,,,2320,2539,2777,0.491,0.4
Failed,,,1124,363,521,0.706,0.7
Failed,,,4975,3777,4871,0.175,0.0
Failed,,,4535,2217,279,0.426,0.5
Failed,,,921,3179,4649,0.958,0.0
Failed,,,1878,974,2373,0.236,0.0
Failed,,,4187,333,4936,0.366,0.6
Failed,,,4424,1383,1599,0.133,0.0
Failed,,,728,2912,3479,0.724,0.5
Failed,,,2081,125,755,0.441,0.1
Failed,,,3385,4173,3855,0.908,0.0
Failed,,,2813,983,3114,0.833,0.001
Failed,,,1422,4406,2436,0.302,0.3
Failed,,,156,2244,4535,0.517,0.8
Failed,,,3766,3148,233,0.111,0.0
Failed,,,3928,2477,3611,0.966,0.01
Failed,,,277,3380,1780,0.434,0.0
Failed,,,1272,1219,4055,0.65,0.0
Failed,,,4604,2992,4433,0.791,0.4
Failed,,,4946,802,424,0.543,0.0
Failed,,,1134,4899,4814,0.076,0.1
Failed,,,2291,2064,1933,0.851,0.5
Failed,,,2827,1827,4278,0.499,0.0
Failed,,,1711,2780,1109,0.905,0.9
Failed,,,483,570,3365,0.183,0.2
Failed,,,4366,4041,1553,0.714,0.0
Failed,,,4219,1679,658,0.81,0.7
Failed,,,610,2622,3798,0.343,0.0
Failed,,,1564,418,1698,0.619,0.0
Failed,,,2149,3076,1420,0.039,0.0
Failed,,,680,276,4302,0.753,0.0
Failed,,,4492,4334,1250,0.347,0.01
Failed,,,4755,2148,3920,0.099,0.001
Failed,,,1023,3715,849,0.506,0.2
Failed,,,2410,886,3749,0.282,0.9
Failed,,,3679,4974,1801,0.813,0.0
Failed,,,3104,498,120,0.927,0.0
Failed,,,1755,3960,4490,0.46,0.6
Failed,,,448,1756,2215,0.736,0.1
Failed,,,4099,2698,2864,0.145,0.0
Failed,,,4084,1743,3806,0.948,0.0
Failed,,,433,2715,647,0.416,0.6
Failed,,,1741,500,3548,0.639,0.01
Failed,,,3684,894,243,0.026,0.0
Failed,,,2416,4971,4682,0.618,0.4
Failed,,,1027,2131,2406,0.342,0.7
Failed,,,4759,3728,2987,0.809,0.0
Failed,,,4478,293,2182,0.557,0.5
Failed,,,665,4321,2744,0.091,0.0
Failed,,,2133,1530,488,0.873,0.0
Failed,,,3321,3078,4907,0.281,0.2
Failed,,,2670,2393,3146,0.477,0.3
Failed,,,1554,3315,1305,0.883,0.001
Failed,,,15,1149,4185,0.169,0.0
Failed,,,3898,4553,1045,0.7,0.9
Failed,,,4031,1074,2632,0.344,0.0
Failed,,,184,4477,1982,0.751,0.01
Failed,,,1375,2311,4726,0.037,0.7
Failed,,,2528,3234,356,0.568,0.0
Failed,,,3201,1299,1407,0.674,0.0
Failed,,,1972,2847,3355,0.207,0.8
