Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Failed,,,3779,1921,2144,0.646,0.0
Failed,,,1118,3487,4353,0.13,0.3
Failed,,,660,522,2466,0.478,0.0
Failed,,,4249,3958,4008,0.991,0.1
Failed,,,2829,1792,1009,0.242,0.6
Failed,,,2042,2727,2515,0.725,0.0
Failed,,,1328,2328,4574,0.55,0.0
Failed,,,3667,3263,1742,0.035,0.9
Failed,,,4746,1059,3275,0.793,0.4
Failed,,,209,4493,406,0.311,0.0
Failed,,,55,1095,3786,0.684,0.6
Failed,,,4894,4534,2242,0.17,0.0
Failed,,,963,2119,229,0.755,0.0
Failed,,,3927,3679,3608,0.271,0.7
Failed,,,2506,889,1370,0.527,0.2
Failed,,,2344,4948,4790,0.011,0.0
Failed,,,1630,37,3120,0.218,0.0
Failed,,,3344,4098,873,0.702,0.4
Failed,,,4424,1268,4105,0.438,0.8
Failed,,,513,2828,1899,0.954,0.001
Failed,,,600,172,1077,0.609,0.3
Failed,,,4511,4237,2579,0.096,0.0
Failed,,,3431,1442,2394,0.857,0.0
Failed,,,1717,3006,3937,0.375,0.8
Failed,,,2434,1979,3186,0.418,0.5
Failed,,,4169,2746,1532,0.461,0.4
Failed,,,1545,961,2061,0.019,0.0
Failed,,,3581,4395,4266,0.503,0.6
Failed,,,4964,2191,722,0.262,0.1
Failed,,,125,3126,2968,0.779,0.0
Failed,,,277,2462,1301,0.154,0.7
Failed,,,4813,3403,4718,0.637,0.0
Failed,,,3734,1232,294,0.377,0.0
Failed,,,1396,4672,3674,0.894,0.2
Failed,,,2112,383,4192,0.82,0.1
Failed,,,2898,3823,1983,0.335,0.0
Failed,,,4318,1614,3029,0.587,0.0
Failed,,,730,2553,783,0.072,0.5
Failed,,,1204,830,2676,0.287,0.001
Failed,,,3866,4890,1170,0.801,0.9
Failed,,,2748,2099,3857,0.059,0.3
Failed,,,2284,3660,2314,0.541,0.0
Failed,,,1868,1405,567,0.748,0.0
Failed,,,413,748,1761,0.809,0.0
Failed,,,4637,4813,4556,0.294,0.3
Failed,,,3205,2018,463,0.533,0.8
Failed,,,1804,3582,3217,0.052,0.0
Failed,,,2327,1481,4027,0.227,0.0
Failed,,,2801,3047,2446,0.74,0.5
Failed,,,3690,4053,3582,0.827,0.0
Failed,,,4799,1849,1442,0.064,0.0
Failed,,,273,2784,4899,0.579,0.1
Failed,,,2025,1193,3665,0.511,0.0
Failed,,,3124,4634,171,0.027,0.1
