Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.49,30,4640,4277,0.0,0.848
Completed,0.49,32,778,4985,0.0,0.549
Completed,0.49,34,5000,4275,0.0,0.382
Completed,0.35,21,5000,1,0.0,0.904
Completed,0.35,20,1,1,0.0,0.552
Completed,0.32,11,5000,5000,0.999,0.865
Completed,0.46,32,5000,3012,0.171,0.823
Completed,0.43,27,4905,5000,0.189,0.895
Completed,0.42,32,1310,2605,0.422,0.613
Completed,0.32,12,4595,959,0.552,0.078
Completed,0.32,12,4050,3213,0.82,0.177
Completed,0.39,27,2014,330,0.2,0.639
Completed,0.33,17,865,4965,0.695,0.42
Completed,0.37,21,2579,1454,0.325,0.895
Completed,0.49,31,4728,4908,0.0,0.5
Completed,0.35,18,1,2801,0.999,0.936
Completed,0.36,23,3541,1654,0.648,0.47
Completed,0.38,24,272,4179,0.458,0.81
Completed,0.45,29,1144,2000,0.235,0.962
Completed,0.32,11,2543,4515,0.934,0.256
Completed,0.39,26,4459,907,0.317,0.632
Completed,0.32,12,1815,3421,0.509,0.088
Completed,0.32,11,1537,1458,0.265,0.341
Completed,0.37,20,4806,3983,0.564,0.877
Completed,0.32,11,2820,52,0.182,0.002
Completed,0.36,19,797,2577,0.991,0.718
Completed,0.44,26,619,946,0.706,0.558
Completed,0.32,11,3263,3461,0.404,0.224
Completed,0.37,25,3777,2353,0.849,0.849
Completed,0.46,29,2379,4867,0.043,0.431
Completed,0.35,19,3390,1097,0.963,0.969
Completed,0.32,11,414,3621,0.147,0.312
Completed,0.39,27,670,214,0.424,0.464
Completed,0.38,20,3026,2728,0.749,0.754
Completed,0.32,11,4933,1307,0.008,0.132
Completed,0.34,16,1332,3822,0.822,0.587
Completed,0.44,27,1688,746,0.074,0.84
Completed,0.37,20,4664,3271,0.751,0.379
Completed,0.38,26,2670,2153,0.494,0.501
Completed,0.32,11,939,4677,0.675,0.218
Completed,0.32,11,145,1815,0.89,0.058
Completed,0.42,25,3746,4329,0.216,0.723
Completed,0.32,11,4252,408,0.536,0.352
Completed,0.43,25,1896,2923,0.352,0.929
Completed,0.32,11,2101,561,0.794,0.185
Completed,0.44,28,4125,3085,0.094,0.597
Completed,0.38,22,3632,482,0.268,0.768
Completed,0.4,25,26,3007,0.593,0.449
Completed,0.32,12,1058,829,0.869,0.29
Completed,0.46,36,2784,3343,0.053,0.991
Completed,0.32,12,4550,1922,0.701,0.116
Completed,0.39,23,1569,4437,0.378,0.667
Completed,0.43,25,1290,130,0.63,0.92
Completed,0.32,11,4896,2655,0.446,0.36
