Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.73,1,133,5000,0.999,0.688
Completed,0.73,1,3388,1253,0.999,0.001
Completed,0.73,1,236,1193,0.795,0.001
Completed,0.73,1,3081,1204,0.999,0.194
Completed,0.73,1,3156,5000,0.245,0.652
Completed,0.73,1,3485,5000,0.227,0.001
Completed,0.73,2,113,1545,0.283,0.999
Completed,0.73,1,267,1115,0.999,0.999
Completed,0.73,1,4790,1,0.443,0.54
Completed,0.73,1,1709,3863,0.0,0.25
Completed,0.73,1,927,5000,0.0,0.27
Completed,0.73,1,533,1,0.436,0.001
Completed,0.73,1,3839,4277,0.999,0.644
Completed,0.73,1,208,1233,0.999,0.948
Completed,0.73,1,3775,5000,0.686,0.693
Completed,0.73,1,1857,645,0.53,0.537
Completed,0.73,2,5000,1336,0.894,0.999
Completed,0.73,1,4866,1233,0.999,0.999
Completed,0.73,1,3608,1297,0.858,0.231
Completed,0.73,1,1898,364,0.47,0.001
Completed,0.73,2,2914,5000,0.999,0.999
Completed,0.73,1,853,1366,0.882,0.001
Completed,0.73,1,4984,1225,0.81,0.524
Completed,0.73,1,2758,375,0.813,0.483
Completed,0.73,1,108,2412,0.743,0.778
Completed,0.73,1,1,2379,0.216,0.179
Completed,0.73,1,3174,279,0.0,0.001
Completed,0.73,1,748,2632,0.813,0.407
Completed,0.73,1,3180,1006,0.115,0.782
Completed,0.73,1,4185,4358,0.678,0.146
Completed,0.73,1,1618,2088,0.377,0.521
Completed,0.73,1,2481,4685,0.179,0.636
Completed,0.73,1,4892,1760,0.878,0.011
Completed,0.73,2,2793,3561,0.313,0.936
Completed,0.73,1,205,69,0.613,0.311
Completed,0.73,1,572,4013,0.31,0.082
Completed,0.73,1,3004,2358,0.508,0.705
Completed,0.73,1,4634,2909,0.198,0.351
Completed,0.73,1,2067,649,0.997,0.975
Completed,0.73,1,1368,3206,0.698,0.867
Completed,0.73,1,3779,349,0.499,0.494
Completed,0.73,1,3555,4952,0.808,0.574
Completed,0.73,1,966,1412,0.009,0.202
Completed,0.73,1,1167,4729,0.55,0.904
Completed,0.73,1,3735,1403,0.257,0.281
Completed,0.73,1,3980,3351,0.941,0.666
Completed,0.73,1,1548,592,0.234,0.043
Completed,0.73,1,1934,3037,0.442,0.178
Completed,0.73,1,4523,913,0.736,0.551
Completed,0.73,1,2872,3807,0.049,0.377
Completed,0.73,1,461,2327,0.756,0.75
Completed,0.73,1,15,3631,0.078,0.606
Completed,0.73,1,2582,237,0.87,0.232
Completed,0.73,1,4703,4380,0.43,0.837
Completed,0.73,1,2270,1671,0.637,0.462
Completed,0.73,1,1719,4077,0.93,0.319
Completed,0.74,2,4308,1982,0.138,0.944
Completed,0.73,1,3282,2680,0.576,0.112
Completed,0.73,1,871,1190,0.369,0.738
Completed,0.73,1,807,4269,0.21,0.779
Completed,0.73,1,3396,2174,0.97,0.406
Completed,0.73,1,4245,2561,0.283,0.541
Completed,0.73,1,1834,1072,0.52,0.168
