Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.54,8122,2276,0.513,0.15,1877,1734,598
Completed,0.53,7469,229,0.197,0.553,3853,1178,1799
Completed,0.54,14034,2505,0.563,0.904,1402,818,3573
Completed,0.53,5872,2160,0.95,0.262,2667,997,3849
Completed,0.53,9244,338,0.26,0.912,892,1710,2648
Completed,0.53,3971,99,0.78,0.062,1429,4629,3228
Completed,0.55,9522,2399,0.464,0.644,4610,2666,4527
Completed,0.53,7534,2366,0.648,0.343,165,3999,3625
Completed,0.53,5415,134,0.091,0.987,3385,3286,4904
Completed,0.53,9386,364,0.573,0.105,3941,377,4256
Completed,0.53,6181,2136,0.14,0.694,2127,2340,3035
Completed,0.56,13094,551,0.403,0.594,1365,3828,636
Completed,0.53,4288,112,0.239,0.459,4775,2829,2140
Completed,0.53,9432,351,0.721,0.577,2832,855,1548
Completed,0.53,5887,165,0.884,0.492,652,2355,45
Completed,0.53,8066,2338,0.327,0.833,2588,548,1266
Completed,0.53,6353,2241,0.911,0.566,4151,4701,2444
Completed,0.53,6663,263,0.345,0.234,2215,2894,1243
Completed,0.56,13685,735,0.522,0.311,1264,3368,1354
Completed,0.55,12387,2637,0.976,0.319,4759,2534,4169
Completed,0.58,2480,2011,0.426,0.465,3456,1482,1872
Completed,0.55,3237,2037,0.599,0.953,1191,3036,3254
Completed,0.53,11399,460,0.159,0.373,3004,4999,4455
Completed,0.54,3174,74,0.679,0.723,4947,1340,3882
Completed,0.55,10086,2422,0.113,0.072,1727,627,2584
Completed,0.53,9621,2437,0.898,0.407,4478,1800,1496
Completed,0.54,3037,68,0.34,0.762,1253,1107,275
Completed,0.56,14235,2676,0.957,0.662,3807,884,4473
Completed,0.55,6947,413,0.561,0.478,54,1542,3353
Completed,0.53,3692,2088,0.246,0.817,3274,829,4554
Completed,0.55,11029,500,0.154,0.654,3293,1630,4172
Completed,0.54,13680,2623,0.004,0.17,1543,4952,580
Completed,0.53,9206,270,0.635,0.257,3985,4534,4831
Completed,0.53,7445,2228,0.077,0.917,2054,2747,3552
Completed,0.53,8466,2326,0.661,0.685,1117,1880,2657
Completed,0.53,5328,173,0.096,0.017,3048,93,3956
Completed,0.55,13454,630,0.771,0.441,3397,1191,3444
Completed,0.54,12357,2566,0.726,0.433,605,336,634
Completed,0.55,12127,559,0.617,0.883,4855,3747,4537
Completed,0.53,4841,2147,0.849,0.795,4097,234,1633
Completed,0.53,8870,355,0.408,0.378,2278,2177,334
Completed,0.53,4171,125,0.928,0.527,315,4141,1014
Completed,0.53,9579,2376,0.363,0.179,3540,3448,2215
Completed,0.53,9922,2392,0.547,0.87,1589,4772,920
Completed,0.53,4795,148,0.377,0.167,4108,1835,4587
