Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.03,583,2955,2245,0.312,0.73,str('intersection'),0.038,False
Completed,0.5,626,1657,40,0.109,0.798,str('kl'),0.066,False
Completed,0.03,1341,4469,4418,0.746,0.135,str('intersection'),0.028,True
Completed,0.03,1466,4965,1369,0.003,0.309,str('kl'),0.021,False
Completed,0.03,1092,1528,3240,0.642,0.632,str('intersection'),0.075,True
Completed,0.29,500,1206,1038,0.332,0.225,str('intersection'),0.082,False
Completed,0.23,1545,3288,315,0.535,0.937,str('kl'),0.024,False
Completed,0.03,669,476,4762,0.173,0.121,str('intersection'),0.059,True
Completed,0.03,922,2107,1936,0.861,0.525,str('intersection'),0.097,False
Completed,0.03,5917,4294,2518,0.47,0.409,str('kl'),0.043,True
Completed,0.03,1054,4168,2182,0.668,0.754,str('intersection'),0.057,True
Completed,0.03,1884,1980,2745,0.063,0.188,str('kl'),0.026,False
Completed,0.03,8106,446,562,0.997,0.716,str('kl'),0.04,True
Completed,0.03,547,3259,4989,0.358,0.35,str('intersection'),0.099,False
Completed,0.03,559,2563,1129,0.139,0.493,str('intersection'),0.076,True
Completed,0.03,11262,1000,4266,0.53,0.566,str('kl'),0.018,False
Completed,0.03,3170,1265,1460,0.465,0.034,str('kl'),0.049,True
Completed,0.03,965,4702,3311,0.827,0.9,str('intersection'),0.08,False
Completed,0.03,802,4576,262,0.424,0.546,str('kl'),0.094,True
Completed,0.03,858,1763,4659,0.783,0.395,str('intersection'),0.034,False
Completed,0.03,650,817,2468,0.22,0.99,str('intersection'),0.032,True
Completed,0.03,6095,3005,3079,0.613,0.077,str('kl'),0.062,False
Completed,0.03,13653,3676,1784,0.891,0.207,str('kl'),0.085,True
Completed,0.03,539,238,3607,0.254,0.851,str('intersection'),0.055,False
Completed,0.31,992,2493,789,0.688,0.261,str('intersection'),0.012,True
Completed,0.03,2438,4056,3975,0.082,0.673,str('kl'),0.072,False
Completed,0.52,683,4003,48,0.731,0.399,str('kl'),0.078,False
Completed,0.03,639,2440,4409,0.125,0.535,str('intersection'),0.048,True
Completed,0.03,1065,301,2218,0.934,0.065,str('intersection'),0.016,False
Completed,0.03,3626,3738,2866,0.296,0.994,str('kl'),0.076,True
Completed,0.03,836,3018,1651,0.201,0.847,str('kl'),0.098,False
Completed,0.03,1019,831,3588,0.592,0.219,str('intersection'),0.038,True
Completed,0.16,521,1740,771,0.403,0.685,str('intersection'),0.025,False
Completed,0.24,544,4765,1888,0.486,0.176,str('intersection'),0.07,False
Completed,0.06,612,948,383,0.157,0.354,str('kl'),0.053,False
Completed,0.03,992,2510,4695,0.55,0.704,str('intersection'),0.084,True
Completed,0.03,1025,3235,1066,0.952,0.578,str('intersection'),0.062,False
Completed,0.03,7166,423,4167,0.317,0.489,str('kl'),0.03,True
Completed,0.03,3333,1994,1361,0.627,0.896,str('kl'),0.033,False
Completed,0.3,593,4182,3249,0.019,0.046,str('intersection'),0.092,True
Completed,0.03,565,2044,3339,0.45,0.297,str('intersection'),0.063,False
Completed,0.03,885,529,1137,0.514,0.83,str('intersection'),0.09,True
Completed,0.03,2740,3342,4258,0.154,0.229,str('kl'),0.036,False
Completed,0.29,2889,2793,610,0.373,0.118,str('kl'),0.013,True
Completed,0.03,1443,1230,4941,0.981,0.948,str('intersection'),0.068,False
Completed,0.03,574,1514,2115,0.048,0.42,str('intersection'),0.086,True
Completed,0.03,6289,4952,2812,0.683,0.521,str('kl'),0.051,False
Completed,0.03,551,4523,856,0.066,0.906,str('intersection'),0.042,True
Completed,0.03,12199,1710,3909,0.704,0.028,str('kl'),0.094,False
Completed,0.03,1474,704,1736,0.269,0.619,str('kl'),0.059,True
Completed,0.03,1025,2892,3654,0.875,0.44,str('intersection'),0.022,False
Completed,0.03,1105,3476,2459,0.597,0.34,str('intersection'),0.044,True
Completed,0.03,1620,38,3088,0.235,0.726,str('kl'),0.082,False
Completed,0.04,1938,2235,290,0.799,0.131,str('kl'),0.072,True
Completed,0.03,659,3797,4631,0.408,0.81,str('intersection'),0.02,False
Completed,0.03,2330,3836,2299,0.186,0.511,str('kl'),0.023,True
Completed,0.03,607,2274,2940,0.546,0.423,str('intersection'),0.061,False
Completed,0.18,658,155,133,0.481,0.955,str('intersection'),0.096,True
Completed,0.15,6861,2853,699,0.652,0.242,str('kl'),0.021,True
Completed,0.03,479,665,3759,0.016,0.825,str('intersection'),0.073,False
Completed,0.03,1418,1592,1576,0.95,0.296,str('intersection'),0.083,True
Completed,0.03,3453,4405,3505,0.342,0.645,str('kl'),0.045,False
Completed,0.03,1159,4912,458,0.906,0.782,str('intersection'),0.037,True
Completed,0.03,5625,1475,4777,0.3,0.152,str('kl'),0.092,False
Completed,0.03,10240,1113,1959,0.735,0.743,str('kl'),0.065,True
Completed,0.27,490,2676,2649,0.097,0.316,str('intersection'),0.029,False
Completed,0.24,695,3381,1276,0.377,0.466,str('intersection'),0.052,True
Completed,0.03,11461,568,3176,0.767,0.6,str('kl'),0.087,False
Completed,0.18,744,2161,985,0.204,0.006,str('kl'),0.069,True
Completed,0.03,623,4348,4093,0.566,0.936,str('intersection'),0.014,False
Completed,0.03,694,4065,1231,0.265,0.275,str('kl'),0.085,False
Completed,0.03,1819,1877,4320,0.903,0.659,str('intersection'),0.054,True
Completed,0.46,463,384,1523,0.094,0.189,str('intersection'),0.012,False
Completed,0.03,5097,2627,2050,0.796,0.973,str('kl'),0.093,False
Completed,0.26,729,1065,2720,0.434,0.093,str('intersection'),0.035,True
