Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.91,0,541,1926,0.493,0.024,str('intersection'),0.039,True
Completed,0.91,0,4417,4671,0.768,0.78,str('kl'),0.073,False
Completed,0.91,0,2630,769,0.29,0.1,str('intersection'),0.021,True
Completed,0.91,0,2482,3338,0.939,0.856,str('kl'),0.099,False
Completed,0.91,0,2439,331,0.278,0.193,str('kl'),0.075,False
Completed,0.91,0,2606,3074,0.985,0.949,str('intersection'),0.041,True
Completed,0.91,0,4543,2090,0.04,0.316,str('intersection'),0.015,False
Completed,0.91,0,335,4521,0.7,0.573,str('kl'),0.094,True
Completed,0.91,0,748,1710,0.802,0.722,str('kl'),0.066,False
Completed,0.91,0,4375,4277,0.468,0.48,str('intersection'),0.054,True
Completed,0.91,0,3477,887,0.51,0.848,str('intersection'),0.024,False
Completed,0.91,0,1479,3142,0.223,0.107,str('kl'),0.081,True
Completed,0.91,0,1634,2280,0.579,0.416,str('intersection'),0.098,False
Completed,0.91,0,3322,4867,0.183,0.658,str('kl'),0.019,True
Completed,0.91,0,3905,285,0.856,0.047,str('kl'),0.037,False
Completed,0.91,0,1218,2560,0.382,0.788,str('intersection'),0.071,True
Completed,0.91,0,180,998,0.125,0.888,str('intersection'),0.089,False
Completed,0.91,0,4698,3722,0.645,0.132,str('kl'),0.032,True
Completed,0.91,0,2896,2321,0.172,0.995,str('intersection'),0.062,False
Completed,0.91,0,2140,4908,0.568,0.239,str('kl'),0.05,True
Completed,0.91,0,2012,2474,0.361,0.665,str('intersection'),0.082,True
Completed,0.91,0,3100,4750,0.901,0.408,str('kl'),0.027,False
Completed,0.91,1,4752,89,0.076,0.796,str('kl'),0.053,True
Completed,0.91,0,215,2677,0.663,0.04,str('intersection'),0.063,False
Completed,0.91,0,1203,1115,0.842,0.139,str('intersection'),0.092,True
Completed,0.91,0,3831,3527,0.427,0.881,str('kl'),0.014,False
Completed,0.91,0,3318,1312,0.597,0.259,str('kl'),0.043,True
Completed,0.91,0,1570,4037,0.135,0.5,str('intersection'),0.076,False
Completed,0.91,0,1415,525,0.557,0.941,str('kl'),0.059,True
Completed,0.91,0,3473,2957,0.204,0.2,str('intersection'),0.049,False
Completed,0.91,0,4301,1895,0.755,0.565,str('intersection'),0.031,True
Completed,0.91,0,733,4639,0.481,0.323,str('kl'),0.086,False
Completed,0.91,0,370,1826,0.021,0.472,str('kl'),0.069,True
Completed,0.91,0,4596,4082,0.748,0.729,str('intersection'),0.036,False
Completed,0.91,0,2712,1760,0.816,0.814,str('intersection'),0.056,False
Completed,0.91,0,2254,4210,0.421,0.074,str('kl'),0.044,True
Completed,0.91,0,2298,924,0.242,0.298,str('intersection'),0.033,False
Completed,0.91,0,2738,3179,0.528,0.555,str('kl'),0.068,True
Completed,0.91,0,4412,1663,0.448,0.179,str('kl'),0.097,False
Completed,0.91,0,477,4231,0.781,0.935,str('intersection'),0.017,True
Completed,0.91,0,919,2044,0.711,0.772,str('intersection'),0.046,False
Completed,0.91,0,4195,4475,0.05,0.031,str('kl'),0.058,True
Completed,0.91,0,3658,367,0.972,0.642,str('kl'),0.084,False
Completed,0.91,0,1309,3110,0.265,0.4,str('intersection'),0.027,True
Completed,0.91,0,1777,1472,0.935,0.092,str('kl'),0.01,False
Completed,0.91,0,3191,3883,0.336,0.833,str('intersection'),0.09,True
Completed,0.91,0,4037,966,0.627,0.465,str('intersection'),0.074,False
Completed,0.91,0,1077,3690,0.106,0.706,str('kl'),0.04,True
Completed,0.91,0,10,254,0.395,0.619,str('kl'),0.023,False
Completed,0.91,0,4880,2528,0.868,0.362,str('intersection'),0.08,True
Completed,0.91,1,2975,228,0.691,0.215,str('intersection'),0.015,True
Completed,0.91,0,1915,2620,0.042,0.956,str('kl'),0.093,False
Completed,0.91,1,2099,79,0.778,0.389,str('intersection'),0.038,False
Completed,0.91,0,2867,2783,0.492,0.631,str('kl'),0.073,True
Completed,0.91,0,4985,2381,0.532,0.009,str('kl'),0.091,False
Completed,0.91,0,128,4773,0.199,0.75,str('intersection'),0.012,True
Completed,0.91,0,975,1336,0.3,0.915,str('intersection'),0.051,False
Completed,0.91,0,3913,3942,0.961,0.158,str('kl'),0.063,True
Completed,0.91,0,3236,1222,0.016,0.547,str('kl'),0.079,False
Completed,0.91,0,1799,3516,0.724,0.289,str('intersection'),0.022,True
Completed,0.91,0,1329,2023,0.085,0.222,str('kl'),0.016,False
Completed,0.91,1,3706,4571,0.684,0.979,str('intersection'),0.096,True
Completed,0.91,0,4068,581,0.354,0.349,str('intersection'),0.069,False
Completed,0.91,0,820,2816,0.875,0.607,str('kl'),0.034,True
Completed,0.91,0,598,630,0.617,0.692,str('kl'),0.029,False
Completed,0.91,0,4515,3392,0.144,0.45,str('intersection'),0.086,True
Completed,0.91,1,2537,145,0.929,0.588,str('intersection'),0.072,True
Completed,0.91,0,2353,2712,0.331,0.331,str('kl'),0.039,False
Completed,0.91,0,2382,1610,0.651,0.523,str('intersection'),0.088,True
Completed,0.91,1,2507,4374,0.111,0.281,str('kl'),0.032,False
Completed,0.91,0,4643,788,0.912,0.891,str('kl'),0.048,True
Completed,0.91,0,393,3239,0.325,0.151,str('intersection'),0.058,False
Completed,0.91,0,693,426,0.177,0.048,str('intersection'),0.097,True
Completed,0.91,0,4274,2975,0.592,0.805,str('kl'),0.019,False
Completed,0.91,0,3579,2187,0.384,0.429,str('kl'),0.038,True
Completed,0.91,0,1535,4423,0.846,0.686,str('intersection'),0.071,False
Completed,0.91,0,1692,1057,0.455,0.869,str('kl'),0.065,True
Completed,0.91,0,3422,3665,0.808,0.112,str('intersection'),0.055,False
Completed,0.91,0,3807,1490,0.233,0.746,str('intersection'),0.025,True
Completed,0.91,0,1161,3785,0.507,0.488,str('kl'),0.08,False
Completed,0.91,0,236,2222,0.999,0.342,str('kl'),0.075,True
Completed,0.91,0,4800,4927,0.271,0.584,str('intersection'),0.042,False
Completed,0.91,0,2877,1696,0.562,0.441,str('intersection'),0.031,False
Completed,0.91,0,2089,4284,0.209,0.698,str('kl'),0.088,True
Completed,0.91,0,1885,1850,0.969,0.148,str('intersection'),0.045,True
Completed,0.91,0,3004,4124,0.261,0.904,str('kl'),0.055,False
Completed,0.91,0,4771,715,0.715,0.267,str('kl'),0.085,True
Completed,0.91,0,265,3302,0.055,0.524,str('intersection'),0.029,False
Completed,0.91,0,1151,490,0.452,0.673,str('intersection'),0.035,True
Completed,0.91,0,3816,2901,0.786,0.431,str('kl'),0.068,False
Completed,0.91,0,3412,1938,0.238,0.804,str('kl'),0.095,True
Completed,0.91,0,1702,4662,0.525,0.062,str('intersection'),0.017,False
Completed,0.91,0,1545,1151,0.167,0.496,str('kl'),0.023,True
