Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.71,29,4469,3407,0.419,0.561,str('intersection'),0.018,False
Completed,0.71,47,3922,1798,0.209,0.727,str('intersection'),0.054,True
Completed,0.71,71,336,2906,0.695,0.475,str('kl'),0.093,False
Completed,0.71,51,1334,1186,0.292,0.756,str('kl'),0.068,True
Completed,0.71,48,2930,3519,0.888,0.259,str('intersection'),0.015,True
Completed,0.71,74,3055,2305,0.204,0.818,str('kl'),0.087,True
Completed,0.71,30,1363,3649,0.705,0.075,str('intersection'),0.037,False
Completed,0.71,44,330,366,0.299,0.667,str('intersection'),0.012,True
Completed,0.71,125,3931,4329,0.793,0.412,str('kl'),0.062,False
Completed,0.71,56,4478,783,0.583,0.362,str('kl'),0.099,True
Completed,0.71,29,1189,4517,0.071,0.621,str('intersection'),0.049,False
Completed,0.71,53,2065,1551,0.916,0.153,str('intersection'),0.024,True
Completed,0.71,85,3445,2510,0.428,0.892,str('kl'),0.074,False
Completed,0.71,59,3160,289,0.948,0.552,str('intersection'),0.06,True
Completed,0.71,109,2347,3781,0.459,0.309,str('kl'),0.021,False
