Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.53,7,1,3423,0.001,20,0.999
Completed,0.55,16,5000,2627,0.001,20,0.728
Completed,0.52,5,1,4590,7.166,1,0.999
Completed,0.58,13,5000,3387,5.214,20,0.999
Completed,0.61,16,5000,1661,10.0,1,0.999
Completed,0.55,14,4761,4394,9.118,20,0.999
Completed,0.59,16,2267,263,10.0,1,0.001
Completed,0.6,38,138,264,10.0,1,0.001
Completed,0.61,25,5000,1677,10.0,20,0.999
Completed,0.68,33,741,261,10.0,1,0.001
Completed,0.6,37,5000,507,10.0,1,0.001
Completed,0.52,5,1,2658,7.964,11,0.999
Completed,0.52,4,1,787,0.001,1,0.999
Completed,0.54,13,5000,4736,0.001,20,0.001
Completed,0.57,27,198,253,0.001,1,0.001
Completed,0.54,8,5000,4699,0.001,1,0.999
Completed,0.54,9,1,266,0.001,1,0.001
Completed,0.56,7,3549,4009,4.91,1,0.999
Completed,0.52,11,1,2455,10.0,20,0.999
Completed,0.52,6,1,3341,0.996,6,0.001
Completed,0.59,33,5000,581,10.0,1,0.999
Completed,0.54,13,5000,4853,0.001,20,0.999
Completed,0.52,10,1,4678,4.799,20,0.001
Completed,0.5,5,1,1436,10.0,1,0.001
Completed,0.66,68,1779,263,10.0,1,0.001
Completed,0.63,19,5000,1657,0.001,20,0.999
Completed,0.6,15,5000,1626,10.0,1,0.001
Completed,0.52,9,1,2703,10.0,20,0.999
Completed,0.57,11,5000,3411,0.001,20,0.001
Completed,0.67,42,1162,259,10.0,1,0.001
Completed,0.57,247,1,74,8.148,3,0.785
Completed,0.61,26,4527,1611,5.314,16,0.155
Completed,0.55,12,4292,4479,7.831,19,0.076
Completed,0.52,12,1924,2179,1.508,6,0.587
Completed,0.59,7,816,3123,7.195,15,0.842
Completed,0.61,31,2814,414,3.39,2,0.323
Completed,0.56,15,2982,2857,9.474,17,0.705
Completed,0.53,8,636,1737,9.307,8,0.398
Completed,0.56,9,2713,4275,3.765,16,0.502
Completed,0.68,119,4566,183,7.234,3,0.951
Completed,0.57,9,4098,3290,8.725,4,0.846
Completed,0.58,10,202,443,0.666,5,0.586
Completed,0.55,11,3129,2903,6.225,13,0.451
Completed,0.61,18,3818,1389,2.738,10,0.001
Completed,0.53,8,2052,3851,7.825,19,0.896
Completed,0.54,20,1590,1955,6.807,17,0.806
Completed,0.55,8,4903,4496,1.266,6,0.169
Completed,0.59,76,1210,1126,5.914,20,0.097
Completed,0.54,29,3922,1004,2.026,13,0.725
Completed,0.56,5,982,3587,4.667,1,0.738
Completed,0.52,5,516,4767,4.094,3,0.185
Completed,0.62,1399,2356,471,9.284,16,0.291
Completed,0.53,8,2678,2899,0.858,8,0.947
Completed,0.59,26,3674,940,3.453,7,0.855
Completed,0.56,11,1516,3680,6.257,19,0.39
Completed,0.6,9,927,1572,1.457,2,0.027
Completed,0.56,11,4354,4299,8.635,14,0.743
Completed,0.7,8400,3774,189,2.222,19,0.203
Completed,0.55,9,952,2614,7.523,7,0.543
Completed,0.54,12,1607,2067,2.734,14,0.93
Completed,0.54,7,3200,4487,7.41,2,0.339
Completed,0.58,12,2945,1286,9.384,5,0.496
Completed,0.52,6,2018,4018,0.331,13,0.781
Completed,0.54,12,112,657,5.512,10,0.635
Completed,0.58,10,4771,3396,4.584,18,0.104
Completed,0.59,25,4982,930,7.99,1,0.981
Completed,0.52,6,286,3202,2.062,13,0.264
Completed,0.54,5,2117,1562,6.941,6,0.152
Completed,0.53,9,3085,3819,2.887,18,0.618
Completed,0.53,11,3299,2031,0.174,16,0.717
