Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.49,123,4062,2474,0.001,19,0.999
Completed,0.34,2264,2523,4809,0.001,12,0.001
Completed,0.54,100,1894,1722,0.001,13,0.808
Completed,0.4,27,3567,4576,0.001,8,0.999
Completed,0.49,39,3827,2186,1.324,1,0.215
Completed,0.48,172,4610,2714,10.0,3,0.999
Completed,0.55,76,4913,1685,3.435,9,0.858
Completed,0.59,465,928,539,7.786,3,0.738
Completed,0.48,43,4616,1904,0.001,7,0.001
Completed,0.42,32,1752,5000,0.001,10,0.81
Completed,0.42,93,1013,3094,0.001,13,0.001
Completed,0.48,33,3586,2738,0.001,2,0.001
Completed,0.42,532,4347,3918,0.001,9,0.001
Completed,0.57,79,4632,1301,0.001,6,0.001
Completed,0.52,247,1137,1348,10.0,5,0.408
Completed,0.55,58,4334,1717,0.001,11,0.999
Completed,0.5,38,4117,2804,0.001,3,0.999
Completed,0.5,102,4354,1998,4.877,5,0.999
Completed,0.46,35,4009,3063,0.001,1,0.001
Completed,0.6,80,3428,649,3.608,1,0.001
Completed,0.56,70,4164,1271,0.001,7,0.999
Completed,0.6,90,4616,887,0.001,3,0.999
Completed,0.61,188,1108,232,5.49,1,0.988
Completed,0.49,33,3744,2563,6.261,1,0.001
Completed,0.53,3862,4511,1813,3.848,9,0.999
Completed,0.57,175,4520,1223,3.786,6,0.001
Completed,0.55,68,4203,1526,6.464,1,0.001
Completed,0.53,49,3613,1670,4.089,1,0.288
Completed,0.62,1104,1816,419,0.001,11,0.999
Completed,0.55,627,1826,1455,4.633,7,0.001
Completed,0.6,105,4081,810,10.0,1,0.001
Completed,0.6,800,1779,757,10.0,5,0.001
Completed,0.53,400,1813,1533,10.0,11,0.001
Completed,0.42,31,5000,4923,0.001,3,0.999
Completed,0.55,736,4875,1539,10.0,9,0.167
Completed,0.58,123,1820,1028,2.51,6,0.136
Completed,0.54,63,3982,1631,0.001,3,0.001
Completed,0.6,119,4335,950,10.0,3,0.999
Completed,0.59,91,3419,661,7.468,1,0.001
Completed,0.45,336,3509,2230,2.616,5,0.001
Completed,0.46,26,4134,3113,0.001,3,0.999
Completed,0.49,46,4202,2170,0.001,7,0.001
Completed,0.48,209,4429,2994,0.001,13,0.001
Completed,0.44,196,3016,2902,7.879,2,0.001
Completed,0.55,62,4371,1388,10.0,1,0.999
Completed,0.46,142,4494,3049,4.474,2,0.614
Completed,0.54,69,4859,1626,8.07,2,0.001
Completed,0.61,5213,3590,110,6.339,6,0.624
Completed,0.45,210,1117,2156,8.837,4,0.317
Completed,0.32,3297,167,4007,5.41,3,0.394
Completed,0.59,3451,1772,976,3.44,13,0.231
Completed,0.45,23,3112,2398,2.882,1,0.098
Completed,0.55,5329,346,337,0.38,10,0.842
Completed,0.6,3946,4938,729,9.53,14,0.449
Completed,0.4,2442,2231,1537,7.014,17,0.741
Completed,0.42,2181,3418,4249,1.311,4,0.175
Completed,0.51,3599,3211,1252,8.368,12,0.791
Completed,0.52,6749,833,858,5.87,19,0.023
Completed,0.49,27,4812,3687,0.167,2,0.581
Completed,0.61,578,3905,616,4.222,5,0.627
Completed,0.45,142,1428,2275,1.738,6,0.436
Completed,0.47,65,2752,1237,2.411,17,0.303
Completed,0.46,747,1566,3290,6.864,3,0.862
Completed,0.34,6329,42,1655,4.913,13,0.51
Completed,0.49,1237,4676,1892,5.295,10,0.155
Completed,0.62,283,1907,218,7.812,1,0.908
Completed,0.49,60,3636,2052,0.612,15,0.676
Completed,0.5,1860,4533,2927,8.665,5,0.95
Completed,0.58,87,4251,1066,7.095,2,0.777
Completed,0.5,1779,1707,1825,9.606,9,0.033
Completed,0.47,27,1532,2529,4.616,2,0.731
Completed,0.56,354,4710,1442,3.677,8,0.251
Completed,0.52,33,2498,669,1.189,3,0.559
Completed,0.57,613,3312,871,4.837,9,0.97
Completed,0.47,43,771,1396,2.331,3,0.216
Completed,0.47,7057,3946,2249,7.575,16,0.572
Completed,0.35,3766,445,4457,3.279,5,0.013
Completed,0.45,20,2974,2809,0.767,6,0.797
Completed,0.44,26,2521,1638,5.638,4,0.497
Completed,0.43,197,312,1098,8.131,7,0.689
Completed,0.43,48,3453,4699,9.692,1,0.293
Completed,0.55,3862,1208,1034,1.34,14,0.938
Completed,0.47,39,1842,2099,5.955,1,0.603
Completed,0.43,1264,417,1480,7.882,18,0.466
Completed,0.43,1080,3937,4309,3.586,2,0.898
Completed,0.5,34,4848,2497,2.013,5,0.821
Completed,0.53,2570,2321,394,4.53,6,0.115
Completed,0.61,82,3137,520,0.872,2,0.415
Completed,0.43,2689,907,2216,3.37,9,0.644
Completed,0.55,3888,3811,1348,6.737,13,0.002
Completed,0.4,118,2836,3630,4.923,3,0.369
Completed,0.44,137,2659,1989,9.913,6,0.925
Completed,0.5,2040,135,278,7.412,5,0.134
Completed,0.59,2145,4602,1140,2.811,19,0.527
Completed,0.42,327,1081,3388,8.357,2,0.088
Completed,0.55,68,1981,1595,0.295,12,0.282
Completed,0.58,76,3728,1007,8.119,3,0.054
Completed,0.47,28,941,1729,5.613,8,0.76
Completed,0.46,2160,4324,2112,4.605,11,0.405
Completed,0.44,20,2802,2828,6.547,1,0.226
Completed,0.49,253,2937,1501,1.421,9,0.542
Completed,0.5,32,482,765,3.914,2,0.272
Completed,0.45,25,803,2586,0.485,5,0.445
Completed,0.34,11,2222,4397,1.629,1,0.787
Completed,0.55,6027,695,585,9.838,11,0.593
Completed,0.6,80,4043,813,0.063,7,0.199
Completed,0.53,101,1251,1297,2.575,4,0.991
Completed,0.36,42,216,1928,0.639,17,0.067
Completed,0.45,1139,4215,4796,5.092,4,0.506
Completed,0.55,69,4502,1695,9.144,3,0.71
Completed,0.34,281,2042,1197,6.656,8,0.48
Completed,0.61,81,1171,468,6.759,1,0.687
Completed,0.34,4859,203,3529,7.707,4,0.608
Completed,0.55,72,1728,1416,0.909,14,0.773
Completed,0.6,1945,3078,65,0.273,4,0.905
Completed,0.4,104,380,2045,2.756,7,0.16
Completed,0.41,1568,2206,1078,9.873,18,0.262
Completed,0.44,347,3363,3126,4.327,3,0.826
