Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
Completed,0.57,5,5000,82,0.001,6,0.237
Completed,0.58,9,5000,66,0.001,18,0.295
Completed,0.57,9,2608,121,10.0,20,0.604
Completed,0.57,10,3966,75,10.0,18,0.852
Completed,0.57,3,5000,95,4.397,1,0.001
Completed,0.57,6,5000,92,10.0,1,0.001
Completed,0.58,9,4412,124,5.289,20,0.999
Completed,0.57,7,4701,80,10.0,16,0.92
Completed,0.57,9,5000,134,10.0,20,0.999
Completed,0.57,7,5000,106,10.0,20,0.999
Completed,0.57,8,5000,132,0.001,20,0.813
Completed,0.57,4,5000,109,0.001,6,0.999
Completed,0.57,8,4911,81,0.001,16,0.533
Completed,0.57,4,5000,107,0.001,1,0.001
Completed,0.57,7,5000,98,0.001,17,0.636
Completed,0.57,4,4949,125,10.0,1,0.001
Completed,0.57,8,4382,82,0.001,16,0.519
Completed,0.58,4,4805,119,10.0,4,0.738
Completed,0.56,7,4542,90,4.21,9,0.999
Completed,0.58,4,4558,125,10.0,5,0.999
Completed,0.57,10,4972,52,0.001,18,0.529
Completed,0.57,19,4985,77,10.0,16,0.81
Completed,0.57,7,3448,72,0.001,17,0.578
Completed,0.57,3,5000,102,0.001,1,0.466
Completed,0.57,8,4373,100,0.001,19,0.793
Completed,0.57,8,4694,91,0.001,18,0.701
Completed,0.57,4,5000,77,2.005,5,0.999
Completed,0.57,3,4937,118,6.806,3,0.999
Completed,0.57,7,5000,126,0.001,3,0.471
Completed,0.57,8,5000,69,0.001,16,0.499
Completed,0.57,7,4419,109,0.001,19,0.999
Completed,0.58,2,4701,126,6.631,1,0.999
Completed,0.57,8,4959,85,10.0,17,0.999
Completed,0.57,6,4716,82,0.001,13,0.531
Completed,0.57,2,5000,135,0.494,1,0.999
Completed,0.57,9,5000,106,2.963,20,0.999
Completed,0.57,6,5000,152,0.001,20,0.999
Completed,0.57,9,4844,60,10.0,16,0.89
Completed,0.56,9,5000,57,0.001,13,0.001
Completed,0.56,8,5000,55,10.0,20,0.999
