Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.73,843,804,85,0.013,0.245,831,EDFSMode.RANDOM
Completed,0.73,1833,2682,71,0.022,0.791,736,EDFSMode.RANDOM
Completed,0.8,1057,497,55,0.001,0.915,100,EDFSMode.RANDOM
Completed,0.8,955,327,56,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.8,1121,559,47,0.001,0.655,100,EDFSMode.RANDOM
Completed,0.57,243,2155,1,0.001,0.077,100,EDFSMode.RANDOM
Completed,0.8,1820,301,73,0.102,0.999,100,EDFSMode.RANDOM
Completed,0.6,221,1,76,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.6,120,1,33,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.6,427,1,75,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.6,138,1,41,0.001,0.541,100,EDFSMode.RANDOM
Completed,0.69,1716,309,79,0.001,0.999,1000,EDFSMode.RANDOM
Completed,0.78,629,172,64,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.79,859,250,100,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.65,7088,3097,11,0.042,0.598,422,EDFSMode.RANDOM
Completed,0.8,5559,3192,97,0.106,0.124,131,EDFSMode.RANDOM
Completed,0.75,3936,4063,14,0.066,0.962,315,EDFSMode.RANDOM
Completed,0.75,3655,4729,81,0.004,0.438,487,EDFSMode.RANDOM
Completed,0.75,3413,1369,100,0.034,0.323,735,EDFSMode.RANDOM
Completed,0.6,197,1,66,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.6,166,1,53,0.001,0.402,100,EDFSMode.RANDOM
Completed,0.6,190,1,62,0.001,0.596,100,EDFSMode.RANDOM
Completed,0.8,1849,972,41,0.001,0.001,100,EDFSMode.RANDOM
Failed,,,3812,42,0.718,0.454,804,EDFSMode.RANDOM
Failed,,,184,74,0.15,0.829,318,EDFSMode.RANDOM
Failed,,,94,56,0.323,0.959,472,EDFSMode.RANDOM
Failed,,,1740,29,0.658,0.241,187,EDFSMode.RANDOM
Failed,,,3903,46,0.485,0.656,612,EDFSMode.RANDOM
Failed,,,2261,88,0.872,0.002,293,EDFSMode.RANDOM
Failed,,,907,11,0.146,0.782,347,EDFSMode.RANDOM
Failed,,,3010,70,0.524,0.377,890,EDFSMode.RANDOM
Failed,,,2531,33,0.239,0.118,507,EDFSMode.RANDOM
Failed,,,1055,97,0.618,0.711,850,EDFSMode.RANDOM
Failed,,,2034,24,0.393,0.493,678,EDFSMode.RANDOM
Failed,,,4304,59,0.777,0.837,110,EDFSMode.RANDOM
Failed,,,4824,2,0.69,0.921,258,EDFSMode.RANDOM
Failed,,,1300,67,0.077,0.265,591,EDFSMode.RANDOM
Failed,,,612,43,0.912,0.546,981,EDFSMode.RANDOM
Failed,,,3343,78,0.293,0.14,423,EDFSMode.RANDOM
Failed,,,5000,76,0.622,0.999,906,EDFSMode.RANDOM
Failed,,,928,89,0.591,0.03,100,EDFSMode.RANDOM
