Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.91,0,1,20,0.001,0.001,288,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.999,143,EDFSMode.RANDOM
Completed,0.91,0,1,31,0.001,0.001,356,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.999,128,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.001,142,EDFSMode.RANDOM
Completed,0.91,0,869,1,0.625,0.999,696,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.001,905,EDFSMode.RANDOM
Completed,0.91,0,688,1,0.999,0.001,430,EDFSMode.RANDOM
Completed,0.91,0,1,31,0.001,0.001,463,EDFSMode.RANDOM
Completed,0.92,1,427,1,0.001,0.999,127,EDFSMode.RANDOM
Completed,0.89,2,939,1,0.001,0.999,127,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.787,0.001,883,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.739,0.999,978,EDFSMode.RANDOM
Completed,0.91,0,1,85,0.001,0.001,938,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.448,0.001,589,EDFSMode.RANDOM
Completed,0.91,0,5000,1,0.001,0.999,557,EDFSMode.RANDOM
Completed,0.91,0,521,1,0.733,0.001,807,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.001,596,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.001,417,EDFSMode.RANDOM
Completed,0.91,0,1213,100,0.001,0.999,943,EDFSMode.RANDOM
Completed,0.91,0,1,100,0.001,0.999,855,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.999,100,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.001,0.999,165,EDFSMode.RANDOM
Completed,0.91,1,2084,1,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.999,0.999,100,EDFSMode.RANDOM
Completed,0.91,0,1,1,0.128,0.5,883,EDFSMode.RANDOM
