Status,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
Completed,0.57,29,5000,100,0.001,0.479,799,EDFSMode.RANDOM
Completed,0.63,40,4105,39,0.001,0.001,482,EDFSMode.RANDOM
Completed,0.59,31,5000,46,0.001,0.999,766,EDFSMode.RANDOM
Completed,0.68,76,4773,38,0.001,0.395,187,EDFSMode.RANDOM
Completed,0.6,35,5000,1,0.252,0.463,753,EDFSMode.RANDOM
Completed,0.54,2125,1,96,0.864,0.001,217,EDFSMode.RANDOM
Completed,0.68,76,1326,92,0.001,0.999,165,EDFSMode.RANDOM
Completed,0.68,2955,558,100,0.928,0.001,216,EDFSMode.RANDOM
Completed,0.54,1720,1,89,0.726,0.001,230,EDFSMode.RANDOM
Completed,0.64,24,2225,78,0.001,0.999,167,EDFSMode.RANDOM
Completed,0.64,38,430,100,0.001,0.001,165,EDFSMode.RANDOM
Completed,0.57,3390,1,100,0.999,0.001,214,EDFSMode.RANDOM
Completed,0.66,68,2509,1,0.569,0.999,151,EDFSMode.RANDOM
Completed,0.49,2810,1,82,0.961,0.001,227,EDFSMode.RANDOM
Completed,0.56,379,1,100,0.833,0.999,219,EDFSMode.RANDOM
Completed,0.62,1362,401,94,0.758,0.001,219,EDFSMode.RANDOM
Completed,0.59,95,1164,32,0.999,0.999,447,EDFSMode.RANDOM
Completed,0.59,48,5000,1,0.999,0.001,756,EDFSMode.RANDOM
Completed,0.67,38,2717,1,0.314,0.436,226,EDFSMode.RANDOM
Completed,0.67,67,5000,1,0.001,0.999,218,EDFSMode.RANDOM
Completed,0.64,26,2214,100,0.001,0.999,150,EDFSMode.RANDOM
Completed,0.67,102,722,1,0.431,0.001,144,EDFSMode.RANDOM
Completed,0.7,64,1138,100,0.001,0.001,153,EDFSMode.RANDOM
Completed,0.63,2908,945,100,0.999,0.001,216,EDFSMode.RANDOM
Completed,0.59,80,1156,58,0.361,0.999,439,EDFSMode.RANDOM
Completed,0.53,417,1,82,0.699,0.973,225,EDFSMode.RANDOM
Completed,0.56,57,1,1,0.417,0.001,153,EDFSMode.RANDOM
Completed,0.65,43,573,23,0.001,0.001,147,EDFSMode.RANDOM
Completed,0.59,9,1,68,0.001,0.001,147,EDFSMode.RANDOM
Completed,0.67,49,629,80,0.001,0.999,124,EDFSMode.RANDOM
Completed,0.69,66,917,39,0.001,0.001,124,EDFSMode.RANDOM
Completed,0.69,64,1387,100,0.001,0.999,182,EDFSMode.RANDOM
Completed,0.71,107,1772,23,0.001,0.001,100,EDFSMode.RANDOM
Completed,0.7,110,3361,1,0.711,0.999,153,EDFSMode.RANDOM
Completed,0.64,126,1814,56,0.359,0.999,408,EDFSMode.RANDOM
Completed,0.71,103,1470,1,0.12,0.999,100,EDFSMode.RANDOM
Completed,0.68,121,4650,1,0.896,0.374,156,EDFSMode.RANDOM
