Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.64,88,181,1899,0.703,0.6
Completed,0.71,148,641,2561,0.039,0.62
Completed,0.73,345,3563,2259,0.624,0.459
Completed,0.69,105,2556,3687,0.826,0.281
Completed,0.65,101,400,1490,0.273,0.674
Completed,0.63,60,2183,4533,0.744,0.237
Completed,0.77,1081,4866,480,0.161,0.843
Completed,0.61,98,4428,3057,0.627,0.73
Completed,0.58,55,308,3910,0.803,0.756
Completed,0.76,474,2997,1108,0.359,0.168
Completed,0.8,1360,1161,138,0.507,0.952
Completed,0.71,230,1265,3187,0.479,0.391
Completed,0.74,603,4182,1634,0.924,0.534
Completed,0.71,323,4337,3285,0.236,0.198
Completed,0.58,81,1420,1732,0.665,0.85
Completed,0.68,137,1004,4933,0.317,0.289
Completed,0.78,1185,3238,235,0.779,0.635
Completed,0.69,144,2841,3812,0.543,0.566
Completed,0.59,57,2425,2960,0.898,0.919
Completed,0.73,583,4585,2013,0.439,0.004
Completed,0.69,241,4709,4436,0.968,0.429
Completed,0.73,298,2711,1391,0.014,0.991
Completed,0.58,96,3720,2658,0.309,0.811
Completed,0.71,202,798,2356,0.849,0.145
Completed,0.61,87,4460,1047,0.87,0.885
Completed,0.76,1076,1903,1185,0.914,0.265
Completed,0.77,1689,4991,449,0.225,0.786
Completed,0.53,65,1218,3225,0.8,0.854
Completed,0.75,748,1523,1558,0.187,0.032
Completed,0.62,135,1624,4312,0.134,0.706
Completed,0.59,86,362,4476,0.233,0.955
Completed,0.79,733,2582,423,0.679,0.126
Completed,0.69,216,3450,4268,0.881,0.179
Completed,0.59,89,747,821,0.468,0.777
Completed,0.72,399,1835,2777,0.549,0.34
Completed,0.69,297,3972,2474,0.106,0.74
Completed,0.7,145,766,3141,0.541,0.227
Completed,0.7,387,3469,1569,0.111,0.822
Completed,0.59,72,2601,3114,0.314,0.878
Completed,0.69,135,382,2186,0.774,0.046
Completed,0.71,229,3118,2846,0.147,0.449
Completed,0.78,827,1004,622,0.703,0.367
Completed,0.58,72,4592,2650,0.401,0.983
Completed,0.72,262,3277,2291,0.764,0.09
Completed,0.66,99,2496,4634,0.089,0.69
Completed,0.71,413,1612,1786,0.298,0.58
Completed,0.69,146,2714,3811,0.598,0.198
Completed,0.65,169,3875,977,0.237,0.873
Completed,0.69,133,590,3311,0.91,0.476
