Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
Completed,0.71,9,4941,1478,0.096,0.784
Completed,0.71,5,4995,4103,0.591,0.338
Completed,0.68,5,736,2232,0.091,0.906
Completed,0.68,5,1274,2509,0.891,0.202
Completed,0.72,10,3031,631,0.392,0.554
Completed,0.73,5,3586,3515,0.149,0.683
Completed,0.72,5,2139,388,0.646,0.065
Completed,0.65,3,178,4407,0.34,0.793
Completed,0.73,12,4122,1283,0.837,0.459
Completed,0.67,6,4039,2912,0.291,0.041
Completed,0.68,3,404,1040,0.789,0.703
Completed,0.7,2,2192,3896,0.224,0.436
Completed,0.71,5,3324,2017,0.723,0.819
Completed,0.72,3,2629,4784,0.971,0.948
Completed,0.71,8,1808,1658,0.471,0.3
Completed,0.68,4,1097,3254,0.547,0.59
Completed,0.73,102,4415,130,0.046,0.162
Completed,0.69,4,4538,3429,0.76,0.767
Completed,0.72,20,983,308,0.262,0.477
Completed,0.7,4,1697,4960,0.693,0.631
Completed,0.71,4,2750,1832,0.196,0.125
Completed,0.69,4,3135,4032,0.438,0.238
Completed,0.68,4,2391,2156,0.938,0.51
Completed,0.7,4,605,3049,0.014,0.349
Completed,0.71,3,3847,1175,0.513,0.903
Completed,0.7,4,4246,4543,0.124,0.595
Completed,0.69,3,64,1421,0.624,0.15
Completed,0.63,3,2029,3652,0.424,0.99
Completed,0.74,19,3708,523,0.925,0.266
Completed,0.68,4,2842,2684,0.676,0.379
Completed,0.67,6,1474,808,0.178,0.869
Completed,0.69,3,938,4280,0.867,0.021
Completed,0.73,6,4803,2406,0.368,0.731
Completed,0.7,4,4724,2591,0.24,0.887
Completed,0.72,9,856,715,0.739,0.365
Completed,0.66,4,1551,4197,0.306,0.526
Completed,0.66,5,2916,2323,0.805,0.222
Completed,0.68,4,3633,4479,0.561,0.108
Completed,0.73,9,1952,1357,0.063,0.648
Completed,0.68,3,146,3579,0.986,0.494
Completed,0.73,16,4325,451,0.488,0.75
Completed,0.68,4,3767,3821,0.875,0.746
Completed,0.68,4,523,1945,0.376,0.006
Completed,0.7,3,2468,2849,0.575,0.855
Completed,0.72,10,3209,976,0.077,0.393
Completed,0.7,4,2675,3170,0.323,0.281
Completed,0.74,55,1620,49,0.823,0.975
Completed,0.7,3,1065,4692,0.132,0.135
Completed,0.72,8,4617,1564,0.632,0.61
Completed,0.68,4,4497,4866,0.41,0.442
Completed,0.69,3,1176,1740,0.908,0.81
Completed,0.71,5,1734,3348,0.11,0.082
Completed,0.73,15,2552,224,0.608,0.666
Completed,0.68,5,3401,2984,0.852,0.537
Completed,0.69,3,2266,1113,0.353,0.218
Completed,0.62,3,324,3960,0.661,0.923
Completed,0.69,7,3957,2081,0.161,0.322
Completed,0.69,5,4204,3714,0.71,0.177
Completed,0.68,5,257,588,0.21,0.575
Completed,0.68,2,2065,4617,0.776,0.285
Completed,0.7,3,3510,1493,0.276,0.963
Completed,0.67,4,3107,4371,0.029,0.834
Completed,0.7,5,1349,2500,0.528,0.422
Completed,0.69,3,657,2769,0.455,0.688
Completed,0.73,14,4913,890,0.953,0.056
Completed,0.7,4,4884,4810,0.01,0.656
Completed,0.67,5,628,1681,0.509,0.088
Completed,0.7,4,1340,3209,0.443,0.804
Completed,0.73,89,3098,87,0.941,0.452
Completed,0.7,5,3481,2966,0.691,0.315
Completed,0.69,3,2036,1092,0.19,0.933
Completed,0.65,3,247,3861,0.765,0.209
Completed,0.72,8,4195,1985,0.264,0.543
Completed,0.72,3,3966,3462,0.871,0.953
Completed,0.72,8,334,334,0.372,0.291
Completed,0.64,3,2296,4439,0.673,0.57
Completed,0.71,8,3430,1318,0.173,0.186
Completed,0.65,3,2562,4080,0.43,0.05
Completed,0.68,5,1743,2206,0.927,0.698
Completed,0.68,5,1205,2552,0.122,0.412
Completed,0.65,4,4526,676,0.619,0.84
Completed,0.67,6,4647,2730,0.342,0.227
Completed,0.72,9,1094,851,0.843,0.517
Completed,0.69,4,1630,4254,0.144,0.375
Completed,0.7,3,2685,2382,0.644,0.881
Completed,0.73,3,3239,4578,0.895,0.76
Completed,0.69,4,2497,1454,0.396,0.488
Completed,0.67,3,533,3597,0.586,0.653
Completed,0.74,22,3777,471,0.088,0.099
Completed,0.69,5,4315,3999,0.541,0.399
Completed,0.66,3,136,2121,0.044,0.845
Completed,0.71,5,1922,3101,0.974,0.016
Completed,0.67,5,3604,1230,0.476,0.74
Completed,0.63,4,2906,3386,0.22,0.619
Completed,0.74,41,1541,262,0.719,0.129
Completed,0.67,3,826,4984,0.294,0.981
Completed,0.71,8,4694,1858,0.794,0.271
Completed,0.72,6,4773,3137,0.657,0.115
Completed,0.74,361,908,13,0.158,0.637
Completed,0.7,3,1464,4745,0.856,0.472
Completed,0.7,4,2831,1619,0.357,0.776
Completed,0.7,4,3678,3779,0.105,0.898
Completed,0.72,8,1999,1900,0.605,0.358
Completed,0.66,3,54,2872,0.412,0.5
Completed,0.72,13,4236,1001,0.913,0.244
Completed,0.71,4,3857,4523,0.458,0.256
Completed,0.7,3,615,1400,0.958,0.996
Completed,0.69,3,2420,3554,0.025,0.143
Completed,0.74,17,3164,428,0.524,0.605
Completed,0.71,3,2760,2627,0.779,0.725
Completed,0.72,14,1707,748,0.281,0.03
Completed,0.72,3,1012,4142,0.705,0.859
Completed,0.72,7,4568,2271,0.207,0.385
Completed,0.69,5,4444,4318,0.991,0.56
Completed,0.68,5,1126,2445,0.491,0.192
Completed,0.68,3,1818,2802,0.558,0.916
Completed,0.71,6,2639,926,0.058,0.332
Completed,0.66,4,3353,3691,0.31,0.468
Completed,0.69,3,2221,563,0.809,0.787
Completed,0.71,3,413,4660,0.236,0.071
Completed,0.71,6,4048,1538,0.735,0.673
Completed,0.7,5,4113,3010,0.129,0.825
Completed,0.68,3,168,1136,0.627,0.427
Completed,0.67,3,2110,3915,0.328,0.713
Completed,0.7,6,3558,2039,0.826,0.035
Completed,0.68,3,3021,4922,0.572,0.172
Completed,0.69,6,1265,1793,0.072,0.584
Completed,0.66,3,707,3312,0.879,0.306
Completed,0.73,37,4965,190,0.38,0.939
Completed,0.71,6,4951,2816,0.93,0.434
Completed,0.67,4,771,940,0.431,0.814
Completed,0.7,4,1329,3796,0.614,0.044
Completed,0.67,4,3006,1922,0.115,0.708
Completed,0.71,4,3543,4723,0.362,0.587
Completed,0.68,4,2174,1602,0.862,0.157
Completed,0.68,3,232,3198,0.186,0.951
Completed,0.74,191,4098,69,0.687,0.305
Completed,0.7,5,3994,4203,0.201,0.199
Completed,0.67,3,438,2327,0.7,0.549
Completed,0.67,3,2246,2605,0.251,0.341
Completed,0.68,3,3299,731,0.751,0.911
Completed,0.67,3,2585,3571,0.506,0.79
Completed,0.73,26,1842,450,0.009,0.454
Completed,0.69,3,1150,4467,0.947,0.685
Completed,0.73,10,4390,1339,0.449,0.07
