Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.74,77,671,87,10,0.001
Completed,0.73,68,3227,121,1,0.63
Completed,0.74,63,578,66,1,0.001
Completed,0.74,37,786,139,1,0.146
Completed,0.74,33,564,118,1,0.001
Completed,0.73,7,100,151,1,0.357
Completed,0.73,37,1114,968,10,0.999
Completed,0.71,18,3950,1490,1,0.617
Completed,0.74,38,799,152,10,0.441
Completed,0.73,29,764,165,1,0.58
Completed,0.74,74,5000,174,1,0.999
Completed,0.73,18,2349,161,1,0.595
Completed,0.73,38,4914,428,1,0.876
Completed,0.74,54,340,89,10,0.001
Completed,0.73,31,1085,370,10,0.999
Completed,0.73,33,2480,275,1,0.001
Completed,0.75,11,2157,146,10,0.999
Completed,0.74,25,587,147,10,0.999
Completed,0.74,32,609,137,1,0.254
Completed,0.73,34,4644,508,1,0.999
Completed,0.71,6,2093,171,1,0.999
Completed,0.75,21,112,73,1,0.001
Completed,0.74,56,525,122,10,0.001
Completed,0.73,27,1044,572,10,0.999
Completed,0.73,29,5000,674,1,0.539
Completed,0.72,12,4098,1576,1,0.741
Completed,0.73,52,3545,341,1,0.001
Completed,0.73,48,661,95,1,0.001
Completed,0.72,16,4170,1800,1,0.733
Completed,0.75,14,107,110,10,0.188
Completed,0.72,40,3165,637,1,0.001
Completed,0.73,45,665,118,10,0.343
Completed,0.74,28,1506,429,10,0.999
Completed,0.73,39,3697,1032,1,0.395
Completed,0.73,73,4582,173,10,0.999
Completed,0.74,29,4232,430,1,0.999
Completed,0.72,34,3955,1456,10,0.992
Completed,0.73,35,3304,323,10,0.344
Completed,0.72,25,4254,642,1,0.999
Completed,0.74,61,1660,177,1,0.591
Completed,0.73,34,811,163,1,0.754
Completed,0.73,37,3936,354,10,0.487
Completed,0.74,26,574,139,10,0.621
Completed,0.74,26,466,109,1,0.211
Completed,0.73,102,1624,622,10,0.001
Completed,0.73,97,1264,172,10,0.001
Completed,0.72,53,3848,1371,10,0.587
Completed,0.72,33,3684,805,10,0.999
Completed,0.73,60,1388,148,10,0.999
Completed,0.72,18,4283,969,1,0.999
Completed,0.74,111,326,54,10,0.001
Completed,0.73,19,280,120,1,0.001
Completed,0.74,13,1176,791,1,0.999
Completed,0.73,46,3522,376,10,0.632
Completed,0.73,24,953,380,10,0.756
Completed,0.74,45,5000,272,1,0.999
Completed,0.73,59,2795,533,1,0.001
Completed,0.73,24,3636,1444,1,0.463
Completed,0.72,36,1248,625,10,0.999
Completed,0.74,17,943,420,1,0.999
Completed,0.72,50,4074,1422,1,0.601
Completed,0.73,35,4899,378,1,0.666
Completed,0.72,18,3894,1846,10,0.656
Completed,0.7,34,4399,2774,1,0.352
Completed,0.68,470,4058,2788,10,0.001
Completed,0.71,41,4755,913,9,0.999
Completed,0.72,16,5000,2269,1,0.999
Completed,0.74,16,329,149,1,0.362
Completed,0.74,28,1460,326,10,0.999
Completed,0.74,28,3714,870,1,0.547
Completed,0.73,57,4977,233,1,0.847
Completed,0.73,20,935,338,1,0.457
