Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.92,1459,1503,575,6,0.926
Completed,0.9,541,1108,1609,1,0.999
Completed,0.9,694,4747,2228,1,0.999
Completed,0.92,1011,1370,255,1,0.91
Completed,0.92,1501,910,334,6,0.971
Completed,0.92,1376,650,319,1,0.888
Completed,0.89,793,4121,2609,1,0.999
Completed,0.91,705,4935,1173,1,0.999
Completed,0.93,834,4479,999,1,0.999
Completed,0.91,1413,4661,1430,1,0.479
Completed,0.9,1205,1417,1273,1,0.879
Completed,0.93,776,921,356,1,0.999
Completed,0.9,627,5000,2183,1,0.93
Completed,0.92,1405,4948,593,3,0.659
Completed,0.9,860,2602,710,1,0.999
Completed,0.92,735,3335,835,2,0.999
Completed,0.9,514,664,837,2,0.999
Completed,0.9,623,584,763,2,0.999
Completed,0.92,1551,692,456,3,0.304
Completed,0.92,1025,1790,513,1,0.999
Completed,0.93,522,3512,665,1,0.999
Completed,0.91,836,3879,1329,1,0.999
Completed,0.91,777,4914,1411,2,0.999
Completed,0.89,590,254,380,2,0.913
Completed,0.93,863,1477,470,1,0.477
Completed,0.89,416,496,779,1,0.999
Completed,0.92,870,3800,378,1,0.93
Completed,0.9,965,5000,2301,1,0.917
Completed,0.89,620,2973,1700,1,0.999
Completed,0.92,963,3937,546,1,0.498
Completed,0.92,626,1243,596,1,0.999
Completed,0.93,889,4764,470,1,0.777
Completed,0.92,871,1477,617,1,0.548
Completed,0.93,1257,4783,793,6,0.999
Completed,0.92,1056,4445,689,2,0.999
Completed,0.93,1032,4188,763,2,0.751
Completed,0.9,644,1611,1863,1,0.999
Completed,0.9,563,764,716,1,0.794
Completed,0.91,413,687,662,1,0.999
Completed,0.88,379,661,1433,1,0.999
Completed,0.89,741,237,361,2,0.485
Completed,0.91,1246,1807,930,1,0.999
Completed,0.92,737,3416,671,2,0.807
Completed,0.92,831,4752,1009,1,0.882
Completed,0.9,948,1880,2811,1,0.999
