Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
Completed,0.81,458,949,21,1,0.999
Completed,0.49,6,439,4590,10,0.986
Completed,0.74,108,1038,147,10,0.604
Completed,0.52,5,1,4754,1,0.999
Completed,0.6,24,877,924,10,0.563
Completed,0.73,59,1018,244,1,0.999
Completed,0.58,13,1191,3009,9,0.836
Completed,0.79,693,4434,38,2,0.173
Completed,0.53,9,2973,4962,8,0.714
Completed,0.59,20,1370,1990,3,0.3
Completed,0.53,10,2388,3901,2,0.481
Completed,0.58,17,3207,1803,9,0.504
Completed,0.57,13,4354,3197,5,0.11
Completed,0.56,8,19,1099,6,0.881
Completed,0.54,11,337,4422,5,0.574
Completed,0.57,30,4048,2374,6,0.41
Completed,0.58,13,3554,2626,3,0.945
Completed,0.56,18,2108,578,8,0.032
Completed,0.57,13,1719,3746,7,0.25
Completed,0.62,30,2695,706,4,0.772
Completed,0.56,10,4749,4293,10,0.372
Completed,0.6,23,883,1254,1,0.644
Completed,0.56,7,737,4209,7,0.077
Completed,0.58,25,4917,1497,4,0.912
Completed,0.55,7,2528,3505,8,0.451
Completed,0.57,48,1864,793,3,0.537
Completed,0.58,12,1089,3210,1,0.999
Completed,0.61,43,962,593,10,0.421
Completed,0.78,446,4757,48,1,0.999
Completed,0.63,65,3431,625,10,0.001
Completed,0.72,113,1057,121,10,0.999
Completed,0.64,63,936,512,1,0.999
Completed,0.79,489,1093,29,10,0.999
Completed,0.7,86,775,155,1,0.001
Completed,0.61,30,1192,1417,1,0.556
Completed,0.6,37,5000,1672,10,0.999
Completed,0.68,108,5000,350,1,0.001
Completed,0.54,16,5000,3782,1,0.999
Completed,0.54,13,5000,4708,1,0.999
Completed,0.69,63,1042,306,10,0.999
Completed,0.6,38,5000,948,1,0.999
Completed,0.58,15,3595,2918,10,0.999
Completed,0.57,11,4161,4113,10,0.186
Completed,0.59,20,783,1304,1,0.001
Completed,0.56,8,4591,4184,1,0.348
Completed,0.75,274,1091,53,10,0.999
Completed,0.58,16,1484,2908,1,0.611
Completed,0.66,52,709,350,10,0.001
Completed,0.71,75,957,245,1,0.001
Completed,0.71,122,1049,143,10,0.999
Completed,0.56,10,1360,3492,1,0.999
Completed,0.73,154,1096,87,10,0.999
Completed,0.58,11,3542,3164,10,0.999
Completed,0.59,37,5000,1956,10,0.001
Completed,0.62,41,954,502,10,0.491
Completed,0.58,15,1113,1752,1,0.521
Completed,0.66,45,709,402,1,0.537
Completed,0.68,53,898,326,1,0.71
Completed,0.57,11,995,2709,1,0.622
Completed,0.6,12,975,2795,1,0.679
Completed,0.56,11,3765,3834,10,0.467
Completed,0.75,313,1066,42,1,0.001
Completed,0.58,25,4965,2928,1,0.359
Completed,0.61,49,5000,1759,1,0.001
Completed,0.72,65,1033,248,10,0.608
Completed,0.82,670,1111,14,1,0.999
Completed,0.61,22,1163,1276,1,0.999
Completed,0.73,261,1103,72,1,0.999
Completed,0.54,7,1366,4047,10,0.999
Completed,0.56,14,994,1815,10,0.999
Completed,0.59,38,5000,1880,10,0.001
Completed,0.57,13,4545,3472,1,0.999
Completed,0.58,14,967,2944,10,0.999
Completed,0.57,24,1456,1890,1,0.561
Completed,0.55,14,803,2421,1,0.999
Completed,0.64,40,943,631,1,0.999
Completed,0.56,9,3803,4172,10,0.999
Completed,0.66,67,3628,489,10,0.999
Completed,0.62,42,3322,671,10,0.999
Completed,0.61,27,5000,1725,10,0.662
Completed,0.72,114,766,157,1,0.999
Completed,0.78,327,1133,34,10,0.999
Completed,0.68,65,1022,290,10,0.511
Completed,0.57,18,812,1806,10,0.085
Completed,0.58,92,834,892,10,0.001
Completed,0.77,244,1111,55,1,0.999
Completed,0.8,806,1126,10,10,0.999
Completed,0.61,27,1055,1088,1,0.999
Completed,0.6,20,912,1586,10,0.059
Completed,0.59,32,963,663,1,0.353
Completed,0.59,35,3635,2738,1,0.002
Completed,0.64,59,871,388,10,0.872
Completed,0.59,14,1140,2876,1,0.001
Completed,0.59,16,1315,1745,1,0.999
Completed,0.56,34,5000,1105,1,0.999
Completed,0.6,32,5000,1464,1,0.999
Completed,0.61,20,5000,2054,10,0.999
Completed,0.72,98,868,151,1,0.999
Completed,0.55,10,4282,4402,10,0.999
Completed,0.65,46,742,328,10,0.999
Completed,0.74,212,1110,64,1,0.999
Completed,0.6,47,912,1244,10,0.001
Completed,0.58,32,1173,1336,10,0.999
Completed,0.72,167,1103,103,10,0.999
Completed,0.6,24,5000,1589,1,0.352
Completed,0.59,21,5000,2185,1,0.999
Completed,0.71,69,1055,264,1,0.999
Completed,0.69,77,868,310,1,0.444
Completed,0.61,131,4709,1519,10,0.001
Completed,0.61,71,3531,701,10,0.001
Completed,0.79,1126,1139,7,1,0.999
Completed,0.67,83,986,345,1,0.999
Completed,0.54,9,5000,4769,1,0.001
Completed,0.52,5,1,4905,10,0.999
Completed,0.54,9,5000,4882,1,0.999
Completed,0.55,8,1135,4268,10,0.999
Completed,0.53,8,803,4728,10,0.001
Completed,0.73,72,617,144,1,0.001
Completed,0.79,976,4631,13,10,0.001
Completed,0.74,89,752,149,10,0.999
Completed,0.61,63,928,2783,10,0.001
Completed,0.62,28,767,1031,1,0.001
Completed,0.56,9,3917,4032,10,0.001
Completed,0.58,18,1134,2980,1,0.001
Completed,0.69,63,5000,530,10,0.001
Completed,0.78,749,1088,6,1,0.001
Completed,0.62,38,944,592,1,0.001
Completed,0.55,8,1037,3986,1,0.001
Completed,0.56,13,890,2672,10,0.999
Completed,0.6,46,3295,763,10,0.999
Completed,0.7,123,785,137,10,0.001
Completed,0.71,140,4959,304,10,0.001
Completed,0.67,60,5000,488,1,0.805
Completed,0.55,9,836,3415,10,0.999
Completed,0.73,140,1049,108,10,0.001
Completed,0.59,36,954,579,1,0.999
Completed,0.6,47,5000,1293,10,0.001
Completed,0.65,27,5000,1341,10,0.999
Completed,0.57,17,5000,2884,10,0.999
Completed,0.59,20,5000,2976,1,0.999
Completed,0.67,85,5000,316,1,0.999
Completed,0.59,43,5000,1224,1,0.001
Completed,0.58,197,1215,2543,10,0.001
Completed,0.54,9,5000,4628,10,0.999
Completed,0.57,17,1401,2354,1,0.999
Completed,0.74,178,1126,80,10,0.999
Completed,0.76,289,1144,47,1,0.999
Completed,0.76,583,1029,3,1,0.999
Completed,0.6,29,1084,1029,1,0.999
Completed,0.56,10,4023,4327,1,0.001
Completed,0.59,41,1796,915,9,0.746
Completed,0.59,16,4699,2663,5,0.097
Completed,0.57,13,847,2293,4,0.284
Completed,0.6,11,2074,517,5,0.457
Completed,0.68,52,4907,675,7,0.996
Completed,0.74,130,3128,108,10,0.277
Completed,0.58,14,1282,1997,8,0.233
