Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,201,4510,6,741,0.496
Failed,,,1535,76,62,320,0.125
Failed,,,2644,2721,29,857,0.516
Failed,,,2966,1404,52,680,0.139
Failed,,,1838,4049,32,145,0.721
Failed,,,523,829,76,783,0.844
Failed,,,4130,3183,9,261,0.264
Failed,,,4696,556,39,423,0.386
Failed,,,1127,2909,72,902,0.972
Failed,,,2442,2223,15,40,0.601
Failed,,,3531,4870,95,504,0.01
Failed,,,3623,2350,36,352,0.805
Failed,,,2202,4704,56,817,0.336
Failed,,,1018,429,12,236,0.208
Failed,,,4958,3076,79,715,0.682
Failed,,,775,3393,62,461,0.297
Failed,,,451,3348,42,74,0.08
Failed,,,1634,1530,98,993,0.456
Failed,,,3016,3883,19,458,0.934
Failed,,,2714,203,89,7,0.283
Failed,,,1312,2554,22,545,0.827
Failed,,,148,2031,65,405,0.699
Failed,,,4029,4676,45,928,0.16
Failed,,,4636,1600,3,765,0.038
Failed,,,716,4248,82,287,0.571
Failed,,,1880,1178,26,648,0.947
Failed,,,3320,3533,59,185,0.412
Failed,,,3357,20,32,532,0.239
Failed,,,1916,2665,61,12,0.653
Failed,,,757,2137,4,931,0.78
Failed,,,4677,4488,87,394,0.36
Failed,,,3827,2159,86,217,0.893
Failed,,,112,4138,49,753,0.9
Failed,,,1270,1073,94,173,0.525
Failed,,,2672,3721,24,653,0.117
Failed,,,2975,2245,97,828,0.73
Failed,,,1593,4892,14,349,0.13
Failed,,,414,612,70,709,0.257
Failed,,,4315,2966,40,248,0.851
Failed,,,4999,807,7,69,0.981
Failed,,,1060,3161,77,608,0.378
Failed,,,2239,1347,35,468,0.003
Failed,,,3660,3993,52,990,0.608
Failed,,,3573,1513,16,156,0.343
Failed,,,2484,3866,99,678,0.798
Failed,,,1164,642,44,257,0.674
Failed,,,4732,3287,74,795,0.217
Failed,,,4351,703,74,595,0.561
Failed,,,481,3093,11,436,0.554
Failed,,,1802,2411,54,515,0.926
Failed,,,2930,4765,36,37,0.465
