Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
Failed,,,1044,370,54,298,0.226
Failed,,,4259,3672,64,111,0.835
Failed,,,1356,1776,46,893,0.354
Failed,,,146,3811,91,433,0.035
Failed,,,1520,249,32,746,0.247
Failed,,,309,2916,77,207,0.427
Failed,,,2825,2272,10,798,0.884
Failed,,,2595,3833,85,635,0.295
Failed,,,3161,642,33,313,0.451
Failed,,,3149,3779,22,818,0.231
Failed,,,1218,634,89,164,0.704
Failed,,,2428,3625,45,641,0.899
Failed,,,4437,1730,65,356,0.41
Failed,,,824,2813,18,281,0.115
Failed,,,3541,2209,98,748,0.57
Failed,,,3680,3086,29,15,0.4
Failed,,,1411,1292,86,183,0.516
Failed,,,199,4295,29,643,0.836
Failed,,,1803,4733,9,254,0.177
Failed,,,3812,378,76,720,0.634
Failed,,,64,1079,98,94,0.135
Failed,,,1273,3414,42,571,0.439
Failed,,,4616,3090,82,283,0.805
Failed,,,2251,2485,3,691,0.256
Failed,,,4199,499,61,190,0.604
Failed,,,4471,3916,97,71,0.67
Failed,,,2413,809,13,918,0.145
Failed,,,1871,2942,36,498,0.77
Failed,,,3764,2335,57,530,0.29
Failed,,,4741,3251,88,645,0.481
Failed,,,4332,841,95,334,0.092
Failed,,,4685,4903,63,469,0.151
Failed,,,3839,520,33,843,0.352
Failed,,,4817,3973,24,958,0.418
Failed,,,1378,3263,98,992,0.532
Failed,,,963,2500,33,110,0.164
Failed,,,2254,4493,78,587,0.483
Failed,,,727,4055,61,448,0.503
Failed,,,3266,2228,20,346,0.323
Failed,,,69,1833,27,549,0.52
Failed,,,3353,1432,79,321,0.154
Failed,,,3368,4252,61,106,0.896
Failed,,,2209,3152,88,414,0.222
Failed,,,4658,1257,5,568,0.717
Failed,,,3233,1042,17,655,0.071
Failed,,,3269,4594,96,497,0.408
Failed,,,1099,199,16,524,0.902
Failed,,,2386,2888,71,48,0.707
Failed,,,4925,2377,64,889,0.388
Failed,,,1942,2258,78,741,0.196
Failed,,,4184,4042,74,360,0.159
Failed,,,1305,1064,28,914,0.573
Failed,,,167,4845,81,257,0.114
Failed,,,3930,426,51,564,0.551
Failed,,,4289,2869,42,904,0.06
Failed,,,1551,2076,57,333,0.707
Failed,,,3405,153,27,760,0.61
Failed,,,851,834,73,631,0.55
Failed,,,2063,3502,18,170,0.869
Failed,,,4824,1608,100,828,0.321
Failed,,,1788,1929,27,39,0.936
Failed,,,500,4908,85,516,0.741
Failed,,,2637,516,1,481,0.2
Failed,,,2863,3325,81,84,0.609
Failed,,,3322,3672,32,91,0.725
Failed,,,4616,4972,87,589,0.794
Failed,,,2626,1854,8,210,0.516
Failed,,,580,2149,11,79,0.429
Failed,,,4686,315,46,479,0.665
Failed,,,1796,850,54,585,0.123
Failed,,,3146,891,42,226,0.885
Failed,,,3494,3308,82,294,0.289
Failed,,,5000,16,77,26,0.001
Failed,,,5000,1,99,7,0.001
Failed,,,2849,1810,89,311,0.506
Failed,,,3180,3093,54,424,0.64
Failed,,,1060,2008,45,869,0.102
Failed,,,1794,1325,20,448,0.983
Failed,,,713,4412,61,661,0.609
Failed,,,461,687,94,540,0.724
Failed,,,3137,3238,64,915,0.492
Failed,,,1618,4295,81,517,0.726
Failed,,,4305,925,68,425,0.284
Failed,,,697,2648,22,593,0.392
Failed,,,2656,4194,85,900,0.108
Failed,,,3782,2887,30,406,0.412
Failed,,,4278,2188,49,841,0.971
Failed,,,4815,2713,14,960,0.77
Failed,,,2966,4731,67,124,0.304
Failed,,,4585,3039,95,341,0.496
Failed,,,21,3772,63,245,0.645
Failed,,,3260,4912,20,687,0.241
Failed,,,3764,876,93,936,0.207
Failed,,,3071,3182,15,522,0.085
Failed,,,2178,4313,30,919,0.822
Failed,,,2974,252,36,821,0.766
Failed,,,1586,1981,36,642,0.33
Failed,,,4976,3054,90,498,0.981
Failed,,,4397,468,30,195,0.431
Failed,,,1536,4666,95,917,0.756
Failed,,,1163,1850,5,381,0.728
Failed,,,2892,3274,70,729,0.085
Failed,,,3455,2196,77,509,0.208
Failed,,,613,2683,48,348,0.605
Failed,,,4780,4613,27,792,0.231
Failed,,,2126,983,89,31,0.701
Failed,,,2875,3019,50,988,0.621
Failed,,,766,3163,51,75,0.166
Failed,,,2134,3634,16,829,0.176
Failed,,,4789,1963,54,99,0.641
Failed,,,4245,2528,84,234,0.601
Failed,,,1275,1858,46,964,0.069
Failed,,,1398,510,22,283,0.127
Failed,,,4532,4437,54,575,0.562
Failed,,,4837,2043,14,867,0.106
Failed,,,1723,2845,63,27,0.707
Failed,,,2553,4236,88,337,0.382
Failed,,,2441,1374,92,245,0.583
Failed,,,2364,4981,72,311,0.316
Failed,,,273,1535,29,767,0.172
Failed,,,3945,1046,59,75,0.062
Failed,,,1653,1363,29,535,0.338
Failed,,,1226,4486,52,172,0.099
Failed,,,4358,616,32,217,0.46
Failed,,,3427,4919,43,801,0.625
Failed,,,2728,863,11,956,0.501
Failed,,,706,4162,65,186,0.187
Failed,,,3813,1,82,1,0.805
Failed,,,3635,2254,81,1,0.667
Failed,,,3980,755,82,178,0.654
Failed,,,2646,4325,82,1,0.536
Failed,,,1,1355,82,686,0.737
Failed,,,3368,2690,82,1,0.89
Failed,,,2076,1117,52,824,0.882
Failed,,,3864,3753,23,39,0.305
Failed,,,4001,1033,100,670,0.685
Failed,,,1941,4023,26,440,0.003
Failed,,,436,2454,75,984,0.482
Failed,,,3629,2592,1,127,0.83
Failed,,,3069,1628,47,97,0.956
Failed,,,988,3329,79,766,0.356
Failed,,,2076,5000,83,647,0.009
Failed,,,4781,5000,84,160,0.398
Failed,,,2958,2902,82,1,0.999
Failed,,,4194,1253,83,535,0.359
Failed,,,1,3381,81,624,0.999
Failed,,,705,1872,83,519,0.303
