Status,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
Completed,0.91,0,3892,4842,885,0.49
Completed,0.91,0,3190,98,4321,0.994
Completed,0.91,0,2215,2541,2448,0.072
Completed,0.91,0,2123,1715,3766,0.4
Completed,0.91,0,3721,4086,1889,0.541
Completed,0.91,0,4269,666,2829,0.037
Completed,0.91,0,169,3221,952,0.896
Completed,0.91,0,921,549,1540,0.872
Completed,0.91,0,4945,3027,4661,0.2
Completed,0.91,0,2994,2068,603,0.689
Completed,0.91,0,1466,4672,3724,0.36
Completed,0.91,0,1371,1999,2125,0.937
Completed,0.91,0,2893,4388,3999,0.113
Completed,0.91,0,4688,382,1188,0.621
Completed,0.91,0,669,2918,3062,0.452
Completed,0.91,0,109,891,4431,0.289
Completed,0.91,0,4214,3349,1302,0.645
Completed,0.91,0,3510,1726,3494,0.152
Completed,0.91,0,1907,4350,365,0.789
Completed,0.91,0,2428,223,3421,0.742
Completed,0.91,0,3408,2765,300,0.324
Completed,0.91,0,3954,2474,4984,0.816
Completed,0.91,0,476,4850,1863,0.242
Completed,0.91,0,1249,1264,649,0.03
Completed,0.91,0,4646,3875,2525,0.917
Completed,0.91,0,2691,1044,2212,0.409
Completed,0.91,0,1797,3509,4088,0.516
Completed,0.91,0,1780,1048,3197,0.074
Completed,0.91,0,2679,3505,76,0.992
Completed,0.91,0,4634,1258,4759,0.492
Completed,0.91,1,1232,3881,1638,0.567
Completed,0.91,0,483,2467,894,0.667
Completed,0.91,0,3956,4857,2770,0.28
Completed,0.91,0,3410,226,2455,0.765
Completed,0.91,0,2435,2762,4332,0.159
Completed,0.91,0,1904,1733,1881,0.362
Completed,0.91,0,3502,4343,3755,0.687
Completed,0.91,0,4206,888,943,0.202
Completed,0.91,0,106,3352,2817,0.87
Completed,0.91,0,681,379,4656,0.894
Completed,0.91,0,4706,2921,1527,0.039
Completed,0.91,0,2910,2005,3718,0.539
Completed,0.91,0,1383,4381,589,0.402
Completed,0.91,0,1482,2055,3991,0.791
