Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
Completed,0.75,9,1130,970,0.214,1,0.25
Completed,0.73,4,5000,4501,0.956,8,0.05
Completed,0.74,6,858,801,0.999,34,0.25
Completed,0.73,4,4410,5000,0.895,16,0.05
Completed,0.74,5,3835,2279,0.013,19,0.25
Completed,0.73,4,1707,5000,0.282,10,0.1
Completed,0.74,5,5000,2455,0.176,1,0.05
Completed,0.74,6,4059,1558,0.492,50,0.005
Completed,0.74,4,1949,3477,0.293,14,0.01
Completed,0.74,7,3594,1331,0.526,30,0.05
Completed,0.74,5,4537,3580,0.239,33,0.1
Completed,0.74,5,3726,2394,0.217,12,0.05
Completed,0.74,4,1903,3503,0.298,15,0.005
Completed,0.73,3,1489,4763,0.957,49,0.001
Completed,0.75,7,1099,953,0.486,8,0.25
Completed,0.74,285,5000,1226,0.338,50,0.001
Completed,0.73,4,1669,5000,0.284,8,0.005
Completed,0.74,6,326,1164,0.39,42,0.25
Completed,0.75,10,4503,1025,0.415,1,0.05
Completed,0.73,52,3025,3940,0.001,1,0.01
Completed,0.73,4,3382,4335,0.939,35,0.001
Completed,0.74,8,3507,1362,0.885,20,0.005
Completed,0.72,6,2576,1919,0.548,42,0.05
Completed,0.74,8,3684,1555,0.554,32,0.005
Completed,0.73,4,820,4531,0.521,30,0.1
Completed,0.74,5,1255,1947,0.601,50,0.025
Completed,0.74,19,3619,2223,0.483,30,0.001
Completed,0.74,5,5000,2318,0.244,23,0.25
Completed,0.74,7,1016,1359,0.916,10,0.25
Completed,0.73,4,1750,3841,0.736,46,0.05
Completed,0.74,4,1813,3497,0.512,7,0.01
Completed,0.73,5,3034,3888,0.695,50,0.001
Completed,0.74,10,2820,613,0.205,1,0.001
Completed,0.73,3,2002,4603,0.777,47,0.001
Completed,0.73,5,3787,3071,0.533,1,0.001
Completed,0.75,8,1614,812,0.486,35,0.25
Completed,0.74,5,1129,2030,0.001,1,0.25
Completed,0.74,5,1289,1567,0.451,26,0.25
Completed,0.74,6,1474,1765,0.823,9,0.05
Completed,0.75,9,908,655,0.635,1,0.025
Completed,0.73,4,1596,4834,0.86,17,0.001
Completed,0.74,6,3453,1753,0.626,30,0.001
Completed,0.75,8,3569,968,0.987,50,0.05
Completed,0.74,22,1594,1913,0.653,45,0.001
Completed,0.74,5,1864,3548,0.297,44,0.005
Completed,0.73,4,3857,3435,0.733,32,0.01
Completed,0.74,4,1019,3408,0.491,1,0.001
Completed,0.74,5,4820,3511,0.839,34,0.01
Completed,0.73,4,1002,3341,0.545,24,0.001
Completed,0.73,6,2935,1626,0.818,14,0.05
Completed,0.73,7,2082,827,0.483,35,0.005
Completed,0.74,4,1884,3501,0.85,19,0.01
Completed,0.73,4,2808,2823,0.795,3,0.001
Completed,0.75,6,872,848,0.896,18,0.25
Completed,0.73,4,534,3511,0.401,25,0.1
Completed,0.73,4,897,2087,0.193,24,0.1
Completed,0.73,4,1063,3470,0.92,46,0.001
Completed,0.75,7,2680,532,0.001,50,0.25
Completed,0.73,5,3946,3466,0.267,41,0.1
Completed,0.74,4,1890,3257,0.664,5,0.25
Completed,0.73,4,2513,2690,0.829,13,0.01
Completed,0.74,6,1480,1464,0.377,7,0.005
Completed,0.73,4,4737,3677,0.875,10,0.01
Completed,0.75,7,907,831,0.405,2,0.005
Completed,0.74,6,1638,1993,0.56,34,0.005
Completed,0.75,7,3257,878,0.379,1,0.05
Completed,0.74,4,3836,3429,0.912,16,0.01
Completed,0.74,6,3020,1564,0.537,50,0.25
Completed,0.73,4,3940,4205,0.926,24,0.05
Completed,0.73,4,970,3057,0.649,2,0.001
Completed,0.71,127,4381,65,0.541,2,0.25
Completed,0.75,10,886,593,0.791,4,0.25
Completed,0.73,5,707,1896,0.486,50,0.25
Completed,0.75,10,2635,456,0.749,3,0.01
Completed,0.75,17,1965,685,0.115,27,0.1
Completed,0.75,9,1577,751,0.176,28,0.05
Completed,0.75,10,2771,609,0.621,50,0.01
Completed,0.74,6,3869,2289,0.774,17,0.05
Completed,0.73,4,2776,3390,0.711,22,0.01
Completed,0.75,7,2887,753,0.939,38,0.25
Completed,0.73,4,3305,4797,0.883,41,0.001
Completed,0.74,6,1358,1854,0.465,50,0.005
Completed,0.74,6,1483,1817,0.467,50,0.01
Completed,0.74,7,3387,1983,0.554,24,0.001
