Status,ACCURACY,RUNTIME,recent_samples_size,delta
Completed,0.05,1418,489,0.472
Completed,0.06,1387,4217,0.662
Completed,0.07,1720,3762,0.075
Completed,0.05,1222,283,0.763
Completed,0.06,1526,1366,0.285
Completed,0.04,1537,2716,0.6
Completed,0.05,1437,3127,0.427
Completed,0.04,1468,2168,0.735
Completed,0.05,1476,731,0.217
Completed,0.05,1448,4600,0.898
Completed,0.06,1415,4408,0.225
Completed,0.05,1619,924,0.909
Completed,0.06,1404,1970,0.39
Completed,0.05,1600,3326,0.698
Completed,0.05,1625,2523,0.275
Completed,0.06,1291,1558,0.591
Completed,0.04,1480,85,0.11
Completed,0.05,1415,3960,0.802
Completed,0.05,1695,4333,0.462
Completed,0.04,1376,375,0.653
Completed,0.06,1455,1733,0.173
Completed,0.04,1411,2937,0.989
Completed,0.1,1718,3698,0.038
Completed,0.04,1420,2259,0.847
Completed,0.05,1299,1098,0.327
Completed,0.06,1263,4822,0.511
Completed,0.17,2293,4716,0.01
Completed,0.05,1207,1243,0.825
Completed,0.04,1346,2267,0.344
Completed,0.06,1323,3651,0.537
Completed,0.05,1411,2851,0.49
Completed,0.05,1312,1858,0.675
Completed,0.05,1675,402,0.156
Completed,0.05,1458,4266,0.963
Completed,0.06,1379,4006,0.303
Completed,0.05,1057,78,0.613
Completed,0.05,1456,1415,0.093
Completed,0.04,1621,2628,0.776
Completed,0.06,1537,3391,0.197
Completed,0.05,1693,1944,0.887
Completed,0.05,1380,800,0.407
Completed,0.05,1633,4493,0.724
Completed,0.07,1309,4613,0.402
Completed,0.04,1547,679,0.717
Completed,0.05,515,2057,0.238
Completed,0.05,1452,3276,0.928
Completed,0.05,1288,2748,0.1
Completed,0.05,1565,1295,0.781
Completed,0.04,1540,193,0.264
Completed,0.06,1466,3892,0.57
Completed,0.07,1634,4069,0.162
Completed,0.05,1452,599,0.969
Completed,0.04,890,1664,0.451
Completed,0.05,1483,3045,0.633
Completed,0.05,1497,3454,0.34
Completed,0.04,1189,2464,0.53
Completed,0.09,1572,1050,0.051
Completed,0.04,1666,4910,0.865
Completed,0.06,1547,4899,0.432
Completed,0.05,1216,1021,0.746
Completed,0.04,1715,2494,0.205
Completed,0.05,1247,3463,0.894
Completed,0.06,1299,3015,0.071
Completed,0.05,1392,1655,0.752
Completed,0.05,1555,610,0.297
Completed,0.06,1712,4098,0.604
Completed,0.06,1339,3881,0.133
Completed,0.04,1859,164,0.939
Completed,0.05,1672,1324,0.484
Completed,0.05,1563,2757,0.666
Completed,0.06,1319,3247,0.369
Completed,0.05,1108,2049,0.559
Completed,0.09,1669,690,0.018
Completed,0.05,1506,4642,0.832
Completed,0.09,1763,4523,0.043
Completed,0.04,1229,809,0.858
Completed,0.07,1330,1933,0.315
Completed,0.05,2386,3362,0.507
Completed,0.05,1382,2638,0.457
Completed,0.05,1439,1444,0.642
Completed,0.05,948,48,0.185
Completed,0.03,931,3997,0.993
Completed,0.05,1577,4296,0.27
Completed,0.04,1811,411,0.58
Completed,0.07,1418,1848,0.123
Completed,0.04,1522,2822,0.805
Completed,0.06,1351,3661,0.23
Completed,0.05,1759,2296,0.92
Completed,0.05,1544,1213,0.377
Completed,0.05,1324,4707,0.695
Completed,0.06,1448,4831,0.192
Completed,0.05,1401,1128,0.876
Completed,0.04,1392,2230,0.419
Completed,0.05,1675,3687,0.727
Completed,0.05,1540,2966,0.308
Completed,0.05,1019,1743,0.624
Completed,0.05,1488,365,0.081
Completed,0.07,1489,4302,0.773
Completed,0.06,1183,3969,0.495
Completed,0.04,729,115,0.686
Completed,0.05,1657,1530,0.144
Completed,0.05,1767,2513,0.96
Completed,0.19,2407,3354,0.005
Completed,0.06,1591,1980,0.813
Completed,0.05,1493,914,0.356
Completed,0.06,1570,4378,0.54
Completed,0.06,1301,4572,0.335
