Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
Completed,0.04,4,844,11,3662,str('H'),3,str('tstat'),0.674,5
Completed,0.04,17,4656,2,882,str('KL'),1,str('stdev'),0.2,92
Completed,0.04,5,3351,20,3941,str('H'),1,str('stdev'),0.378,59
Completed,0.06,4,2168,5,1874,str('KL'),2,str('tstat'),0.996,46
Completed,0.05,3,1395,17,486,str('KL'),3,str('stdev'),0.321,82
Completed,0.06,4,2541,8,2784,str('H'),1,str('tstat'),0.802,20
Completed,0.06,3,3903,14,2073,str('KL'),3,str('tstat'),0.618,31
Completed,0.04,4,54,0,4927,str('H'),2,str('stdev'),0.008,69
Completed,0.06,3,30,12,2030,str('KL'),2,str('stdev'),0.412,28
Completed,0.04,4,3830,3,4721,str('H'),3,str('tstat'),0.964,65
Completed,0.04,19,2536,20,414,str('KL'),1,str('tstat'),0.645,86
Completed,0.04,4,1341,6,2568,str('H'),2,str('stdev'),0.23,23
Completed,0.04,4,2133,18,3835,str('H'),2,str('tstat'),0.593,62
Completed,0.08,4,3287,9,1604,str('KL'),1,str('stdev'),0.034,50
Completed,0.04,8,4641,15,3566,str('H'),1,str('stdev'),0.358,1
Completed,0.04,8,800,0,642,str('KL'),2,str('tstat'),0.766,89
Completed,0.04,4,1235,18,3327,str('KL'),2,str('tstat'),0.511,16
Completed,0.04,4,4889,7,1174,str('H'),3,str('stdev'),0.115,78
Completed,0.04,5,3743,10,4230,str('KL'),1,str('stdev'),0.307,73
Completed,0.04,4,2401,4,1540,str('H'),3,str('tstat'),0.816,35
Completed,0.05,22,1631,13,194,str('H'),2,str('stdev'),0.486,99
Completed,0.04,6,2931,1,3119,str('KL'),3,str('tstat'),0.889,12
Completed,0.04,4,4138,16,2406,str('H'),2,str('tstat'),0.687,39
Completed,0.08,4,443,9,4638,str('KL'),1,str('stdev'),0.186,52
Completed,0.05,4,729,17,2822,str('H'),1,str('stdev'),0.564,49
Completed,0.06,7,4378,8,120,str('KL'),2,str('tstat'),0.063,61
Completed,0.04,4,575,16,1047,str('H'),3,str('tstat'),0.09,47
Completed,0.04,3,4221,10,3200,str('KL'),2,str('stdev'),0.536,59
Completed,0.06,9,3083,14,1394,str('H'),1,str('stdev'),0.853,92
Completed,0.04,4,1734,2,4084,str('KL'),2,str('tstat'),0.27,4
Completed,0.04,4,2211,11,2934,str('KL'),3,str('stdev'),0.907,68
Completed,0.04,9,3523,4,9,str('H'),1,str('tstat'),0.468,31
Completed,0.04,5,4717,19,4472,str('KL'),3,str('tstat'),0.142,20
Completed,0.04,4,1035,7,2240,str('H'),2,str('stdev'),0.732,83
Completed,0.06,3,688,14,4848,str('H'),1,str('stdev'),0.989,9
Completed,0.04,4,4500,0,2157,str('KL'),2,str('tstat'),0.387,96
Completed,0.05,5,3194,17,2714,str('H'),3,str('tstat'),0.193,55
Completed,0.06,4,2011,8,560,str('KL'),1,str('stdev'),0.682,42
Completed,0.04,4,1551,20,1789,str('KL'),3,str('tstat'),0.016,81
Completed,0.06,4,2697,5,4020,str('H'),2,str('stdev'),0.611,19
Completed,0.04,4,1492,6,1613,str('KL'),2,str('tstat'),0.69,36
Completed,0.04,5,1989,18,424,str('KL'),3,str('stdev'),0.116,100
Completed,0.06,4,3140,8,2577,str('H'),2,str('tstat'),0.508,13
Completed,0.04,4,4481,15,2021,str('KL'),2,str('tstat'),0.819,39
Completed,0.04,4,627,0,4711,str('H'),3,str('stdev'),0.306,51
Completed,0.04,4,1090,18,2417,str('H'),3,str('stdev'),0.035,28
Completed,0.04,4,4742,6,4647,str('KL'),2,str('tstat'),0.59,66
Completed,0.04,4,330,1,2603,str('KL'),3,str('stdev'),0.26,93
Completed,0.06,3,530,14,1834,str('H'),3,str('tstat'),0.483,10
Completed,0.04,5,4345,2,3976,str('KL'),2,str('stdev'),0.891,98
Completed,0.04,5,3042,16,921,str('H'),3,str('stdev'),0.717,53
Completed,0.04,4,1851,10,3619,str('KL'),1,str('tstat'),0.157,40
Completed,0.04,4,2331,19,4971,str('KL'),3,str('stdev'),0.521,76
Completed,0.04,4,3480,7,2034,str('H'),2,str('tstat'),0.106,14
Completed,0.04,4,4844,11,2749,str('KL'),1,str('tstat'),0.286,37
Completed,0.04,8,988,4,526,str('H'),2,str('stdev'),0.837,75
Completed,0.04,4,423,16,4462,str('KL'),2,str('stdev'),0.612,9
Completed,0.04,8,4081,10,2231,str('H'),1,str('tstat'),0.013,97
Completed,0.05,5,2915,13,2943,str('KL'),1,str('tstat'),0.317,54
Completed,0.04,5,1568,2,19,str('H'),3,str('stdev'),0.81,42
Completed,0.04,7,2380,11,1403,str('H'),2,str('tstat'),0.384,81
Completed,0.04,4,3685,4,4094,str('KL'),3,str('stdev'),0.99,18
Completed,0.04,4,4873,19,1037,str('H'),1,str('stdev'),0.681,33
Completed,0.04,4,1173,7,3191,str('KL'),2,str('tstat'),0.196,70
Completed,0.06,5,857,14,817,str('KL'),1,str('tstat'),0.465,46
Completed,0.04,5,4662,0,3742,str('H'),3,str('stdev'),0.908,59
Completed,0.06,4,3242,14,4429,str('H'),2,str('tstat'),0.36,90
Completed,0.04,7,1886,0,2283,str('KL'),1,str('stdev'),0.764,3
Completed,0.06,8,250,5,4205,str('H'),1,str('tstat'),0.24,87
Completed,0.06,2,186,12,3557,str('H'),3,str('tstat'),0.886,15
Completed,0.04,7,4004,3,631,str('KL'),2,str('stdev'),0.487,77
Completed,0.04,4,2680,20,3845,str('H'),3,str('stdev'),0.185,73
Completed,0.04,4,30,15,4793,str('H'),2,str('stdev'),0.699,24
Completed,0.04,7,3847,0,1934,str('KL'),1,str('tstat'),0.178,86
Completed,0.04,4,2524,18,2649,str('H'),3,str('tstat'),0.495,65
Completed,0.08,3,1336,9,347,str('KL'),1,str('stdev'),0.879,27
Completed,0.04,8,2145,20,1699,str('KL'),2,str('tstat'),0.299,88
Completed,0.04,4,3296,6,3763,str('H'),3,str('stdev'),0.827,1
Completed,0.06,3,4637,12,708,str('KL'),3,str('stdev'),0.501,50
Completed,0.04,4,783,3,3485,str('H'),2,str('tstat'),0.125,63
