Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.17,14,5000,0,0.484,3405
Completed,0.17,16,3225,127,0.36,5000
Completed,0.17,13,3638,90,0.831,1522
Completed,0.32,189,2030,0,0.133,216
Completed,0.17,15,3461,0,0.372,4366
Completed,0.29,74,4381,0,0.674,1147
Completed,0.17,14,3141,127,0.521,2974
Completed,0.17,16,1667,0,0.889,3877
Completed,0.17,17,2113,0,0.457,4541
Completed,0.17,13,497,0,0.518,1828
Completed,0.17,14,1,113,0.49,1
Completed,0.17,14,220,0,0.889,5000
Completed,0.17,14,3997,127,0.379,4979
Completed,0.17,18,1659,127,0.782,3474
Completed,0.17,12,4761,0,0.79,862
Completed,0.17,16,1166,0,0.998,2885
Completed,0.18,1253,2576,47,0.32,5000
Completed,0.17,19,382,127,0.999,5000
Completed,0.17,14,2990,67,0.718,5000
Completed,0.17,14,1407,0,0.816,2917
Completed,0.17,14,1428,120,0.747,3070
Completed,0.18,4906,2911,7,0.22,323
Completed,0.17,15,4428,91,0.872,4875
Completed,0.26,111,1224,36,0.345,2283
Completed,0.31,319,58,75,0.064,1374
Completed,0.17,15,4355,52,0.591,3966
Completed,0.23,3026,3307,104,0.438,684
Completed,0.17,17,2293,23,0.965,3431
Completed,0.17,14,2023,81,0.387,4114
Completed,0.17,15,3663,46,0.896,1871
Completed,0.31,149,316,13,0.522,1161
Completed,0.17,11,868,98,0.803,194
Completed,0.21,2722,4698,29,0.293,2592
Completed,0.11,13,2653,65,0.678,2135
Completed,0.19,934,1794,62,0.168,4378
Completed,0.17,12,1694,68,0.916,890
Completed,0.25,244,2709,59,0.429,3142
Completed,0.17,13,4944,103,0.541,1430
Completed,0.15,2594,645,24,0.055,3838
Completed,0.17,14,572,119,0.273,4824
Completed,0.29,11,3777,8,0.759,2416
Completed,0.28,4838,3573,84,0.148,2859
Completed,0.21,49,2089,43,0.635,606
Completed,0.18,1060,2349,109,0.216,1919
Completed,0.17,14,3206,18,0.689,4676
Completed,0.17,15,304,49,0.814,2731
Completed,0.17,14,1012,94,0.595,3620
Completed,0.17,15,2977,125,0.969,4334
Completed,0.27,64,1338,2,0.497,1578
Completed,0.17,16,3059,38,0.502,2930
Completed,0.21,1534,4594,122,0.403,2423
Completed,0.17,15,1079,5,0.876,4714
Completed,0.17,13,224,106,0.658,3826
Completed,0.17,13,3142,73,0.782,3272
Completed,0.16,1042,2437,54,0.31,824
Completed,0.17,13,2150,112,0.853,1702
Completed,0.17,15,3479,15,0.367,4264
Completed,0.17,13,3861,83,0.728,1010
Completed,0.2,871,503,44,0.242,3730
Completed,0.17,15,742,67,0.46,2743
Completed,0.26,207,4881,60,0.946,24
Completed,0.16,2585,2780,96,0.086,4547
Completed,0.17,13,1608,31,0.572,1985
Completed,0.17,14,1859,101,0.325,3282
Completed,0.17,12,2563,26,0.834,730
Completed,0.22,3134,4776,70,0.2,3998
Completed,0.17,14,794,57,0.709,1288
Completed,0.17,14,408,86,0.99,2256
Completed,0.17,15,3922,41,0.48,4965
Completed,0.2,830,3740,117,0.616,467
Completed,0.17,14,2220,76,0.56,4527
Completed,0.3,6614,3394,51,0.033,2088
Completed,0.17,13,4259,111,0.934,2561
Completed,0.17,278,119,16,0.407,280
Completed,0.2,4705,1140,127,0.126,1188
Completed,0.17,14,4499,0,0.653,3469
Completed,0.28,1863,2852,92,0.251,1727
Completed,0.17,14,1522,35,0.778,4165
Completed,0.27,929,1547,72,0.286,2054
Completed,0.17,14,2875,55,0.806,4459
Completed,0.17,14,1106,20,0.681,2519
Completed,0.2,14,96,123,0.899,3485
Completed,0.28,4477,4234,4,0.38,1235
Completed,0.17,14,3428,88,0.525,4195
Completed,0.21,1281,2255,39,0.006,1790
Completed,0.17,12,1908,97,0.58,755
Completed,0.22,7096,3706,30,0.078,3359
Completed,0.17,13,3947,66,0.955,1290
Completed,0.17,14,432,61,0.453,4050
Completed,0.17,14,828,82,0.234,4958
Completed,0.17,14,4811,45,0.736,2199
Completed,0.17,14,2540,113,0.359,2998
Completed,0.17,12,1834,14,0.861,394
Completed,0.27,2943,1573,116,0.114,4253
Completed,0.26,14,2747,11,0.608,1659
Completed,0.17,16,4906,87,0.488,3694
Completed,0.17,13,766,40,0.982,944
Completed,0.1,1258,536,71,0.701,55
Completed,0.17,5224,3895,56,0.207,2804
Completed,0.17,13,3454,100,0.826,2000
Completed,0.17,14,2125,27,0.332,4595
Completed,0.17,14,2462,93,0.755,2930
Completed,0.21,3934,3166,34,0.274,535
Completed,0.17,15,4173,126,0.63,4740
Completed,0.24,727,191,1,0.149,2500
Completed,0.15,485,1055,110,0.43,1513
Completed,0.17,14,4569,17,0.91,3754
Completed,0.24,5892,3093,77,0.056,818
Completed,0.17,13,1295,50,0.536,3214
Completed,0.17,14,1381,105,0.942,4622
Completed,0.18,197,3022,22,0.461,1910
Completed,0.17,14,4632,74,0.568,2660
