Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.61,3318,468,4,0.249,867
Completed,0.61,424,2945,3,0.748,4309
Completed,0.6,13904,4580,6,0.301,1862
Completed,0.57,40,2095,1,0.801,3429
Completed,0.57,9071,1461,7,0.614,2526
Completed,0.57,36,3797,2,0.633,2800
Completed,0.57,11885,3723,7,0.315,246
Completed,0.57,11191,1248,0,0.814,4928
Completed,0.61,4717,893,4,0.296,3027
Completed,0.6,690,3379,3,0.795,2075
Completed,0.57,29,1592,1,0.723,492
Completed,0.57,182,2198,7,0.91,1093
Completed,0.61,5355,2755,5,0.608,1348
Completed,0.57,38,241,2,0.109,3521
Completed,0.57,1836,234,7,0.481,4864
Completed,0.57,13374,2710,0,0.98,192
Completed,0.57,41,2329,2,0.537,2400
Completed,0.57,41,1695,4,0.85,1643
Completed,0.57,5790,2479,0,0.214,2579
Completed,0.59,12389,1857,6,0.402,3336
Completed,0.57,34,4344,1,0.9,1759
Completed,0.62,11083,3176,4,0.079,4255
Completed,0.57,6775,971,7,0.06,1557
Completed,0.57,36,1514,2,0.989,3994
Completed,0.57,41,2120,4,0.678,4429
Completed,0.57,41,2833,6,0.87,2846
Completed,0.57,36,319,1,0.371,1903
Completed,0.59,3642,589,6,0.503,4113
Completed,0.57,37,4447,4,0.945,3157
Completed,0.61,9109,1310,5,0.134,2493
Completed,0.57,36,2567,2,0.267,4827
Completed,0.57,13183,4994,7,0.713,2282
Completed,0.57,36,4522,2,0.555,1965
Completed,0.57,36,2264,1,0.617,4931
Completed,0.57,36,823,2,0.881,2899
Completed,0.57,30,3726,1,0.945,245
Completed,0.57,36,3958,2,0.024,3641
Completed,0.57,35,3912,4,0.79,1584
Completed,0.57,38,2878,1,0.476,4111
Completed,0.57,37,1242,1,0.72,2311
Completed,0.59,9396,3504,6,0.489,3353
Completed,0.62,1295,4532,3,0.806,798
Completed,0.57,4037,2434,0,0.864,3442
Completed,0.57,38,3342,2,0.669,4662
Completed,0.61,5462,782,5,0.434,1002
Completed,0.74,629,171,3,0.162,133
Completed,0.57,38,2585,4,0.924,4281
Completed,0.57,33,4360,1,0.373,1725
Completed,0.59,5623,1639,6,0.605,2611
Completed,0.57,35,1837,1,0.087,675
Completed,0.57,36,4120,6,0.814,4989
Completed,0.57,38,106,4,0.65,3162
Completed,0.57,7571,674,0,0.009,1378
Completed,0.57,4948,3407,7,0.767,3035
Completed,0.57,28,4786,2,0.468,470
Completed,0.6,1797,2381,5,0.697,3866
Completed,0.57,38,1907,1,0.391,2518
Completed,0.59,5079,4639,6,0.631,1817
Completed,0.71,5264,3558,3,0.071,4344
Completed,0.6,553,1152,4,0.841,69
Completed,0.57,31,425,2,0.563,1056
Completed,0.61,6721,2996,5,0.335,4608
Completed,0.57,10546,1540,7,0.14,3543
Completed,0.57,36,1479,2,0.3,3763
Completed,0.61,12749,3892,5,0.536,573
Completed,0.57,11323,3050,0,0.23,3090
Completed,0.57,35,328,7,0.996,1325
